Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,3910.05,47,30,5,44,99,0.604,4056,3826,51.46,2930,2726,51.8,2035,1956,50.99,168,153,52.34,184.48,163.34,53.04,1922,1766,52.11,1059,955,52.58,144,125,53.53,13.6,86.91,799,680,54.02,539,456,54.17,97,76,56.07,18,83.33,1123,1086,50.84,520,499,51.03,47,49,48.96,9.04,90.18,2366,2243,51.33,882,892,49.72,23,27,46,2.61,96.97,8.26,92.18,1.004
Tampa Bay Lightning,82,3970.2167,45,29,8,42,98,0.598,3855,3776,50.52,2680,2656,50.22,1813,1895,48.89,171,190,47.37,160.79,166.89,49.07,1815,1730,51.2,938,960,49.42,146,157,48.18,15.57,83.65,724,695,51.02,472,480,49.58,94,92,50.54,19.92,80.83,1091,1035,51.32,466,480,49.26,52,65,44.44,11.16,86.46,2187,2161,50.3,796,835,48.8,25,32,43.86,3.14,96.17,9.43,89.97,0.994
Chicago Blackhawks,82,4001.5167,23,53,6,22,52,0.317,3385,4360,43.71,2391,3130,43.31,1689,2189,43.55,118,202,36.88,140.74,191.57,42.35,1515,2121,41.67,852,1146,42.64,103,160,39.16,12.09,86.04,588,888,39.84,398,574,40.95,69,108,38.98,17.34,81.18,927,1233,42.92,454,572,44.25,34,52,39.53,7.49,90.91,1989,2490,44.41,757,951,44.32,15,42,26.32,1.98,95.58,6.99,90.77,0.978
Pittsburgh Penguins,82,3947.0667,38,32,12,36,88,0.537,4185,3971,51.31,2997,2900,50.82,2089,1948,51.75,179,172,51,185.81,176.81,51.24,1956,1849,51.41,1058,999,51.43,135,142,48.74,12.76,85.79,825,741,52.68,552,494,52.77,85,106,44.5,15.4,78.54,1131,1108,50.51,506,505,50.05,50,36,58.14,9.88,92.87,2421,2303,51.25,920,859,51.71,44,29,60.27,4.78,96.62,8.57,91.17,0.997
Seattle Kraken,82,4014.2833,34,35,13,31,81,0.494,4037,3829,51.32,2766,2796,49.73,1875,1886,49.85,144,146,49.66,162.9,158.86,50.63,1835,1685,52.13,916,870,51.29,114,124,47.9,12.45,85.75,697,673,50.88,430,405,51.5,73,79,48.03,16.98,80.49,1138,1012,52.93,486,465,51.1,41,45,47.67,8.44,90.32,2371,2391,49.79,863,913,48.59,30,22,57.69,3.48,97.59,7.68,92.26,0.999
Vegas Golden Knights,82,4015.1667,45,29,8,41,98,0.598,3983,4223,48.54,2811,2870,49.48,2005,1962,50.54,176,163,51.92,170.7,164.43,50.94,1872,1862,50.13,1035,930,52.67,160,130,55.17,15.46,86.02,731,719,50.41,503,441,53.28,92,76,54.76,18.29,82.77,1141,1143,49.96,532,489,52.11,68,54,55.74,12.78,88.96,2329,2463,48.6,858,935,47.85,16,33,32.65,1.86,96.47,8.78,91.69,1.005
Ottawa Senators,82,3914.4333,37,41,4,32,78,0.476,3982,3911,50.45,2840,2711,51.16,1950,1911,50.51,163,192,45.92,166.64,172.09,49.19,1755,1847,48.72,972,965,50.18,141,161,46.69,14.51,83.32,709,741,48.9,483,495,49.39,91,99,47.89,18.84,80,1046,1106,48.61,489,470,50.99,50,62,44.64,10.22,86.81,2343,2216,51.39,860,844,50.47,22,31,41.51,2.56,96.33,8.36,89.95,0.983
Carolina Hurricanes,82,3956.6,52,23,7,50,111,0.677,4707,3197,59.55,3339,2368,58.51,2146,1667,56.28,169,146,53.65,194.12,146.87,56.93,2013,1458,57.99,986,852,53.65,143,131,52.19,14.5,84.62,800,627,56.06,490,438,52.8,96,72,57.14,19.59,83.56,1213,831,59.34,496,414,54.51,47,59,44.34,9.48,85.75,2909,1871,60.86,1084,704,60.63,26,15,63.41,2.4,97.87,7.88,91.24,0.991
Montreal Canadiens,82,3927.6,30,36,16,26,76,0.463,3586,4273,45.63,2554,2977,46.18,1749,2034,46.23,160,164,49.38,163.84,189.1,46.42,1640,2026,44.74,883,1041,45.89,138,142,49.29,15.63,86.36,699,807,46.41,465,496,48.39,86,83,50.89,18.49,83.27,941,1219,43.56,418,545,43.41,52,59,46.85,12.44,89.17,2040,2358,46.38,779,899,46.42,20,22,47.62,2.57,97.55,9.15,91.94,1.011
Toronto Maple Leafs,82,4012.1167,46,26,10,41,102,0.622,4101,3948,50.95,2943,2787,51.36,2055,1850,52.62,200,168,54.35,184.27,173.99,51.43,1951,1820,51.74,1075,960,52.83,173,135,56.17,16.09,85.94,846,753,52.91,560,499,52.88,111,89,55.5,19.82,82.16,1105,1067,50.87,515,461,52.77,62,46,57.41,12.04,90.02,2399,2213,52.02,871,808,51.88,27,33,45,3.1,95.92,9.73,90.92,1.007
