Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,445.7833,47,30,5,44,99,0.604,448,438,50.56,317,312,50.4,220,234,48.46,21,29,42,21.64,19.74,52.29,225,218,50.79,121,127,48.79,19,27,41.3,15.7,78.74,107,75,58.79,71,56,55.91,13,20,39.39,18.31,64.29,118,143,45.21,50,71,41.32,6,7,46.15,12,90.14,241,244,49.69,90,98,47.87,2,2,50,2.22,97.96,9.55,87.61,0.972
Tampa Bay Lightning,82,736.2,45,29,8,42,98,0.598,762,700,52.12,506,510,49.8,342,374,47.77,31,41,43.06,30.53,34.24,47.13,367,348,51.33,179,201,47.11,26,34,43.33,14.53,83.08,138,142,49.29,81,94,46.29,15,15,50,18.52,84.04,229,206,52.64,98,107,47.8,11,19,36.67,11.22,82.24,432,383,53.01,148,155,48.84,5,6,45.45,3.38,96.13,9.06,89.04,0.981
Chicago Blackhawks,82,827.3833,23,53,6,22,52,0.317,749,887,45.78,534,637,45.6,366,441,45.35,26,49,34.67,30.89,38.93,44.24,329,413,44.34,172,226,43.22,23,36,38.98,13.37,84.07,107,182,37.02,70,117,37.43,12,29,29.27,17.14,75.21,222,231,49.01,102,109,48.34,11,7,61.11,10.78,93.58,448,525,46.04,179,197,47.61,3,13,18.75,1.68,93.4,7.1,88.89,0.96
Pittsburgh Penguins,82,722.9667,38,32,12,36,88,0.537,858,680,55.79,602,498,54.73,415,337,55.19,25,25,50,37.64,31.43,54.49,396,305,56.49,216,174,55.38,19,19,50,8.8,89.08,169,139,54.87,109,101,51.9,11,16,40.74,10.09,84.16,227,166,57.76,107,73,59.44,8,3,72.73,7.48,95.89,512,400,56.14,179,149,54.57,6,5,54.55,3.35,96.64,6.02,92.58,0.986
Seattle Kraken,82,805.8167,34,35,13,31,81,0.494,862,753,53.37,554,551,50.14,382,372,50.66,23,30,43.4,31.35,35.06,47.21,383,369,50.93,184,192,48.94,16,24,40,8.7,87.5,124,151,45.09,73,92,44.24,9,17,34.62,12.33,81.52,259,218,54.3,111,100,52.61,7,7,50,6.31,93,525,436,54.63,181,163,52.62,7,6,53.85,3.87,96.32,6.02,91.94,0.98
Ottawa Senators,82,805.1,37,41,4,32,78,0.476,840,765,52.34,576,513,52.89,395,360,52.32,28,38,42.42,32.74,31.56,50.91,364,364,50,190,184,50.8,22,37,37.29,11.58,79.89,126,135,48.28,85,90,48.57,14,23,37.84,16.47,74.44,238,229,50.96,105,94,52.76,8,14,36.36,7.62,85.11,493,430,53.41,177,156,53.15,6,1,85.71,3.39,99.36,7.09,89.44,0.965
Carolina Hurricanes,82,658.0167,52,23,7,50,111,0.677,851,442,65.82,602,328,64.73,382,230,62.42,25,24,51.02,35.46,17.95,66.4,359,208,63.32,182,123,59.67,23,21,52.27,12.64,82.93,147,76,65.92,96,56,63.16,18,10,64.29,18.75,82.14,212,132,61.63,86,67,56.21,5,11,31.25,5.81,83.58,549,246,69.06,190,82,69.85,2,3,40,1.05,96.34,6.54,89.57,0.961
Montreal Canadiens,82,607.5167,30,36,16,26,76,0.463,607,645,48.48,432,451,48.92,304,314,49.19,25,34,42.37,27.95,27.49,50.41,253,317,44.39,150,169,47.02,21,32,39.62,14,81.07,121,119,50.42,79,75,51.3,14,17,45.16,17.72,77.33,132,198,40,71,94,43.03,7,15,31.82,9.86,84.04,372,324,53.45,136,129,51.32,3,2,60,2.21,98.45,8.22,89.17,0.974
Toronto Maple Leafs,82,691.9167,46,26,10,41,102,0.622,732,626,53.9,497,453,52.32,352,307,53.41,32,24,57.14,32.67,27.91,53.92,358,297,54.66,198,156,55.93,27,19,58.7,13.64,87.82,146,125,53.87,100,78,56.18,16,13,55.17,16,83.33,212,172,55.21,98,78,55.68,11,6,64.71,11.22,92.31,446,345,56.38,140,136,50.72,5,5,50,3.57,96.32,9.09,92.18,1.013
Boston Bruins,82,523.3833,47,20,15,43,109,0.665,492,482,50.51,352,357,49.65,248,232,51.67,28,19,59.57,22.26,21.45,50.92,235,224,51.2,130,123,51.38,22,16,57.89,16.92,86.99,109,96,53.17,80,66,54.79,17,10,62.96,21.25,84.85,126,128,49.61,50,57,46.73,5,6,45.45,10,89.47,284,275,50.81,106,98,51.96,6,3,66.67,5.66,96.94,11.29,91.81,1.031
