Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1493.1167,47,30,5,44,99,0.604,1402,1522,47.95,1045,1083,49.11,732,766,48.87,60,58,50.85,64.69,65.41,49.73,649,657,49.69,368,361,50.48,50,46,52.08,13.59,87.26,273,273,50,183,187,49.46,31,24,56.36,16.94,87.17,376,384,49.47,185,174,51.53,19,22,46.34,10.27,87.36,863,940,47.86,328,357,47.88,10,11,47.62,3.05,96.92,8.2,92.43,1.006
Tampa Bay Lightning,82,1405.5,45,29,8,42,98,0.598,1267,1478,46.16,902,1014,47.08,612,706,46.43,62,57,52.1,55.63,61.01,47.69,631,644,49.49,327,352,48.16,51,47,52.04,15.6,86.65,261,256,50.48,173,174,49.86,35,29,54.69,20.23,83.33,370,388,48.81,154,178,46.39,16,18,47.06,10.39,89.89,675,902,42.8,256,326,43.99,11,10,52.38,4.3,96.93,10.13,91.93,1.021
Chicago Blackhawks,82,769.9167,23,53,6,22,52,0.317,554,960,36.59,383,682,35.96,273,478,36.35,23,39,37.1,22.17,42.93,34.05,252,461,35.34,140,249,35.99,19,28,40.43,13.57,88.76,90,193,31.8,61,131,31.77,11,18,37.93,18.03,86.26,162,268,37.67,79,118,40.1,8,10,44.44,10.13,91.53,325,548,37.23,121,211,36.45,4,11,26.67,3.31,94.79,8.42,91.84,1.003
Pittsburgh Penguins,82,1359.6833,38,32,12,36,88,0.537,1292,1517,46,937,1103,45.93,644,744,46.4,61,63,49.19,56.2,64.8,46.45,602,692,46.52,321,372,46.32,46,50,47.92,14.33,86.56,240,258,48.19,155,173,47.26,26,40,39.39,16.77,76.88,362,434,45.48,166,199,45.48,20,10,66.67,12.05,94.97,758,893,45.91,283,343,45.21,15,13,53.57,5.3,96.21,9.47,91.53,1.01
Vegas Golden Knights,82,1383.95,45,29,8,41,98,0.598,1306,1498,46.58,954,1008,48.62,701,685,50.58,64,54,54.24,57.52,58.42,49.61,644,662,49.31,373,326,53.36,59,45,56.73,15.82,86.2,262,264,49.81,182,159,53.37,37,26,58.73,20.33,83.65,382,398,48.97,191,167,53.35,22,19,53.66,11.52,88.62,740,840,46.84,285,322,46.95,5,9,35.71,1.75,97.2,9.13,92.12,1.012
Ottawa Senators,82,1138.95,37,41,4,32,78,0.476,1069,1251,46.08,783,889,46.83,542,637,45.97,50,57,46.73,47.42,57.71,45.11,477,600,44.29,286,320,47.19,46,48,48.94,16.08,85,208,241,46.33,142,162,46.71,25,31,44.64,17.61,80.86,269,359,42.83,144,158,47.68,21,17,55.26,14.58,89.24,642,694,48.05,224,287,43.84,4,9,30.77,1.79,96.86,9.23,91.05,1.003
Carolina Hurricanes,82,1447.05,52,23,7,50,111,0.677,1551,1313,54.16,1135,964,54.07,746,674,52.54,66,51,56.41,63.78,61.94,50.73,664,597,52.66,332,340,49.4,54,46,54,16.27,86.47,263,262,50.1,159,176,47.46,36,26,58.06,22.64,85.23,401,335,54.48,173,164,51.34,18,20,47.37,10.4,87.8,949,793,54.48,380,296,56.21,12,5,70.59,3.16,98.31,8.85,92.43,1.013
Montreal Canadiens,82,1151.7333,30,36,16,26,76,0.463,906,1389,39.48,638,940,40.43,452,633,41.66,45,54,45.45,40.34,61.43,39.64,430,658,39.52,226,326,40.94,40,43,48.19,17.7,86.81,179,257,41.06,121,162,42.76,28,27,50.91,23.14,83.33,251,401,38.5,105,164,39.03,12,16,42.86,11.43,90.24,501,769,39.45,196,283,40.92,4,11,26.67,2.04,96.11,9.96,91.47,1.014
Toronto Maple Leafs,82,1516.8333,46,26,10,41,102,0.622,1428,1633,46.65,1056,1119,48.55,745,724,50.71,88,71,55.35,67.53,71.05,48.73,692,747,48.09,413,375,52.41,82,54,60.29,19.85,85.6,315,297,51.47,218,205,51.54,54,35,60.67,24.77,82.93,377,450,45.59,195,170,53.42,28,19,59.57,14.36,88.82,815,918,47.03,290,321,47.46,6,17,26.09,2.07,94.7,11.81,90.19,1.02
Boston Bruins,82,1553.1333,47,20,15,43,109,0.665,1285,1704,42.99,950,1195,44.29,668,786,45.94,70,58,54.69,60.44,70.36,46.21,640,772,45.33,367,378,49.26,67,52,56.3,18.26,86.24,276,315,46.7,194,193,50.13,44,31,58.67,22.68,83.94,364,457,44.34,173,185,48.32,23,21,52.27,13.29,88.65,692,1004,40.8,258,371,41.02,3,6,33.33,1.16,98.38,10.48,92.62,1.031
Calgary Flames,82,1077.85,38,39,5,38,81,0.494,1003,1218,45.16,723,835,46.41,504,568,47.01,39,53,42.39,42.65,49.53,46.27,440,545,44.67,236,286,45.21,33,42,44,13.98,85.31,172,210,45.03,116,145,44.44,22,25,46.81,18.97,82.76,268,335,44.44,120,141,45.98,11,17,39.29,9.17,87.94,600,714,45.66,226,248,47.68,6,10,37.5,2.65,95.97,7.74,90.67,0.984
Colorado Avalanche,82,1498.9833,50,25,7,48,107,0.652,1438,1465,49.53,1026,1039,49.69,728,695,51.16,78,47,62.4,61.16,63.97,48.88,703,647,52.07,396,337,54.02,68,39,63.55,17.17,88.43,283,280,50.27,191,181,51.34,36,30,54.55,18.85,83.43,420,367,53.37,205,156,56.79,32,9,78.05,15.61,94.23,824,879,48.39,296,326,47.59,10,8,55.56,3.38,97.55,10.71,93.24,1.04
