Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1409.1333,47,30,5,44,99,0.604,1557,1336,53.82,1095,947,53.62,749,685,52.23,64,44,59.26,68.94,54.74,55.74,738,619,54.38,394,321,55.1,54,34,61.36,13.71,89.41,300,228,56.82,204,148,57.95,37,21,63.79,18.14,85.81,438,391,52.83,190,173,52.34,17,13,56.67,8.95,92.49,905,779,53.74,331,331,50,10,10,50,3.02,96.98,8.54,93.58,1.021
Tampa Bay Lightning,82,1238.9333,45,29,8,42,98,0.598,1194,1137,51.22,839,801,51.16,576,572,50.17,55,70,44,48.46,51.48,48.49,530,534,49.81,285,289,49.65,48,58,45.28,16.84,79.93,218,222,49.55,146,156,48.34,31,39,44.29,21.23,75,312,312,50,139,133,51.1,17,19,47.22,12.23,85.71,707,605,53.89,268,246,52.14,7,12,36.84,2.61,95.12,9.55,87.76,0.973
Chicago Blackhawks,82,1255.35,23,53,6,22,52,0.317,1066,1426,42.78,753,1009,42.74,542,700,43.64,38,64,37.25,45.17,61.65,42.29,478,694,40.78,284,367,43.63,34,53,39.08,11.97,85.56,207,279,42.59,150,177,45.87,25,33,43.1,16.67,81.36,271,415,39.5,134,190,41.36,9,20,31.03,6.72,89.47,615,814,43.04,230,304,43.07,4,11,26.67,1.74,96.38,7.01,90.86,0.979
Pittsburgh Penguins,82,1339.5833,38,32,12,36,88,0.537,1389,1332,51.05,995,955,51.03,686,632,52.05,64,54,54.24,61.28,59.11,50.9,652,625,51.06,350,320,52.24,49,48,50.52,14,85,284,246,53.58,194,153,55.91,32,33,49.23,16.49,78.43,368,379,49.26,156,167,48.3,17,15,53.13,10.9,91.02,797,774,50.73,300,277,51.99,15,6,71.43,5,97.83,9.33,91.46,1.008
Seattle Kraken,82,1443.4667,34,35,13,31,81,0.494,1467,1404,51.1,1028,1033,49.88,691,699,49.71,51,51,50,60,57.11,51.23,668,599,52.72,339,322,51.29,39,43,47.56,11.5,86.65,252,238,51.43,163,158,50.78,27,31,46.55,16.56,80.38,416,361,53.54,176,164,51.76,12,12,50,6.82,92.68,856,887,49.11,319,341,48.33,12,8,60,3.76,97.65,7.38,92.7,1.001
Vegas Golden Knights,82,1444.8833,45,29,8,41,98,0.598,1415,1545,47.8,989,1041,48.72,704,696,50.29,56,56,50,60.76,58.71,50.86,661,670,49.66,359,327,52.33,52,40,56.52,14.48,87.77,265,252,51.26,177,156,53.15,27,23,54,15.25,85.26,396,418,48.65,182,171,51.56,25,17,59.52,13.74,90.06,823,919,47.24,305,334,47.73,4,16,20,1.31,95.21,7.95,91.95,0.999
Ottawa Senators,82,1165.3167,37,41,4,32,78,0.476,1169,1181,49.74,835,814,50.64,571,563,50.35,49,60,44.95,50.78,49.68,50.55,519,556,48.28,280,287,49.38,43,49,46.74,15.36,82.93,227,217,51.13,150,149,50.17,33,29,53.23,22,80.54,292,339,46.28,130,138,48.51,10,20,33.33,7.69,85.51,664,665,49.96,254,247,50.7,6,11,35.29,2.36,95.55,8.58,89.34,0.979
Carolina Hurricanes,82,1479.2167,52,23,7,50,111,0.677,1820,1175,60.77,1269,876,59.16,812,610,57.1,59,55,51.75,75.22,53.43,58.47,799,523,60.44,376,306,55.13,51,49,51,13.56,83.99,307,228,57.38,185,161,53.47,30,26,53.57,16.22,83.85,492,295,62.52,191,145,56.85,21,23,47.73,10.99,84.14,1099,675,61.95,410,264,60.83,8,6,57.14,1.95,97.73,7.27,90.98,0.982
Montreal Canadiens,82,1535.9333,30,36,16,26,76,0.463,1427,1628,46.71,1035,1135,47.7,683,761,47.3,55,47,53.92,67.27,70.42,48.86,666,755,46.87,349,370,48.54,47,42,52.81,13.47,88.65,277,303,47.76,183,174,51.26,32,29,52.46,17.49,83.33,389,452,46.25,166,196,45.86,15,13,53.57,9.04,93.37,795,908,46.68,302,350,46.32,8,5,61.54,2.65,98.57,8.05,93.82,1.019
Toronto Maple Leafs,82,1340.8167,46,26,10,41,102,0.622,1379,1289,51.69,988,919,51.81,676,617,52.28,56,56,50,59.27,57.46,50.78,649,579,52.85,322,317,50.39,46,49,48.42,14.29,84.54,266,246,51.95,170,167,50.45,32,34,48.48,18.82,79.64,383,333,53.49,152,150,50.33,14,15,48.28,9.21,90,801,747,51.74,315,272,53.66,10,7,58.82,3.17,97.43,8.28,90.92,0.992
