Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1007.8,47,30,5,44,99,0.604,1097,968,53.12,790,696,53.16,554,505,52.31,44,51,46.32,50.85,43.19,54.08,535,490,52.2,297,273,52.11,40,45,47.06,13.47,83.52,226,179,55.8,152,121,55.68,29,31,48.33,19.08,74.38,309,311,49.84,145,152,48.82,11,14,44,7.59,90.79,598,524,53.3,223,204,52.22,3,6,33.33,1.35,97.06,7.94,89.9,0.978
Tampa Bay Lightning,82,1325.7833,45,29,8,42,98,0.598,1394,1161,54.56,939,841,52.75,625,617,50.32,54,63,46.15,56.69,54.39,51.04,654,552,54.23,326,319,50.54,47,52,47.47,14.42,83.7,245,217,53.03,153,150,50.5,28,24,53.85,18.3,84,409,335,54.97,173,169,50.58,19,28,40.43,10.98,83.43,805,654,55.17,272,263,50.84,7,10,41.18,2.57,96.2,8.64,89.79,0.984
Chicago Blackhawks,82,1976.25,23,53,6,22,52,0.317,1765,1974,47.21,1255,1439,46.59,874,1011,46.37,57,99,36.54,73.4,86.99,45.76,785,966,44.83,428,530,44.68,50,79,38.76,11.68,85.09,291,416,41.16,187,266,41.28,33,57,36.67,17.65,78.57,494,550,47.32,241,264,47.72,17,22,43.59,7.05,91.67,1049,1128,48.19,406,436,48.22,7,20,25.93,1.72,95.41,6.52,90.21,0.967
Pittsburgh Penguins,82,1247.8,38,32,12,36,88,0.537,1504,1122,57.27,1065,842,55.85,759,572,57.02,54,55,49.54,68.33,52.9,56.36,702,532,56.89,387,307,55.76,40,44,47.62,10.34,85.67,301,237,55.95,203,168,54.72,27,33,45,13.3,80.36,401,295,57.61,184,139,56.97,13,11,54.17,7.07,92.09,866,636,57.66,337,239,58.51,14,10,58.33,4.15,95.82,7.11,90.38,0.975
Seattle Kraken,82,1321.2333,34,35,13,31,81,0.494,1411,1157,54.95,922,861,51.71,624,601,50.94,39,48,44.83,52.25,52.72,49.78,620,559,52.59,293,305,49,29,41,41.43,9.9,86.56,208,232,47.27,124,141,46.79,16,27,37.21,12.9,80.85,412,327,55.75,169,164,50.75,13,14,48.15,7.69,91.46,839,679,55.27,300,263,53.29,10,7,58.82,3.33,97.34,6.25,92.01,0.983
Ottawa Senators,82,1610.1667,37,41,4,32,78,0.476,1744,1479,54.11,1222,1008,54.8,837,711,54.07,64,75,46.04,68.44,64.71,51.4,759,691,52.34,406,358,53.14,52,64,44.83,12.81,82.12,274,283,49.19,191,184,50.93,33,39,45.83,17.28,78.8,485,408,54.31,215,174,55.27,19,25,43.18,8.84,85.63,1037,857,54.75,382,310,55.2,12,11,52.17,3.14,96.45,7.65,89.45,0.971
Carolina Hurricanes,82,1030.3333,52,23,7,50,111,0.677,1336,709,65.33,935,528,63.91,588,383,60.56,44,40,52.38,55.12,31.49,63.64,550,338,61.94,278,206,57.44,38,36,51.35,13.67,82.52,230,137,62.67,146,101,59.11,30,20,60,20.55,80.2,320,201,61.42,132,105,55.7,8,16,33.33,6.06,84.76,861,403,68.12,294,144,67.12,6,4,60,2.04,97.22,7.48,89.56,0.97
Montreal Canadiens,82,1239.9333,30,36,16,26,76,0.463,1253,1256,49.94,881,902,49.41,614,640,48.96,60,63,48.78,56.22,57.26,49.54,544,613,47.02,308,345,47.17,51,57,47.22,16.56,83.48,243,247,49.59,161,160,50.16,26,27,49.06,16.15,83.13,301,366,45.13,147,185,44.28,25,30,45.45,17.01,83.78,744,681,52.21,281,266,51.37,8,6,57.14,2.85,97.74,9.77,90.16,0.999
Toronto Maple Leafs,82,1154.4667,46,26,10,41,102,0.622,1294,1026,55.78,899,749,54.55,634,509,55.47,56,41,57.73,57.46,45.48,55.82,610,494,55.25,340,268,55.92,45,32,58.44,13.24,88.06,265,210,55.79,172,127,57.53,25,20,55.56,14.53,84.25,345,284,54.85,168,141,54.37,20,12,62.5,11.9,91.49,783,548,58.83,266,215,55.3,11,9,55,4.14,95.81,8.83,91.94,1.008
Boston Bruins,82,838.2833,47,20,15,43,109,0.665,816,721,53.09,588,530,52.59,409,348,54.03,45,29,60.81,36.68,32.23,53.23,395,330,54.48,211,183,53.55,34,25,57.63,16.11,86.34,174,147,54.21,124,97,56.11,26,19,57.78,20.97,80.41,221,183,54.7,87,86,50.29,8,6,57.14,9.2,93.02,458,416,52.4,178,149,54.43,11,4,73.33,6.18,97.32,11,91.67,1.027
