Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,825.0333,47,30,5,44,99,0.604,787,846,48.19,573,593,49.14,388,402,49.11,32,25,56.14,34.74,35.43,49.51,368,368,50,196,192,50.52,25,19,56.82,12.76,90.1,140,145,49.12,88,95,48.09,15,7,68.18,17.05,92.63,228,223,50.55,108,97,52.68,10,12,45.45,9.26,87.63,481,510,48.54,174,184,48.6,7,5,58.33,4.02,97.28,8.25,93.78,1.02
Tampa Bay Lightning,82,658.5333,45,29,8,42,98,0.598,615,668,47.93,437,458,48.83,300,326,47.92,33,30,52.38,28.54,28.86,49.73,303,292,50.92,161,165,49.39,29,25,53.7,18.01,84.85,131,122,51.78,93,80,53.76,22,15,59.46,23.66,81.25,172,170,50.29,68,85,44.44,7,10,41.18,10.29,88.24,331,408,44.79,128,146,46.72,4,5,44.44,3.13,96.58,11,90.8,1.018
Chicago Blackhawks,82,468.7833,23,53,6,22,52,0.317,345,576,37.46,236,400,37.11,166,274,37.73,15,27,35.71,13.53,25.64,34.55,149,277,34.98,81,140,36.65,12,21,36.36,14.81,85,58,116,33.33,39,74,34.51,7,13,35,17.95,82.43,91,161,36.11,42,66,38.89,5,8,38.46,11.9,87.88,200,332,37.59,74,122,37.76,3,6,33.33,4.05,95.08,9.04,90.15,0.992
Pittsburgh Penguins,82,731.75,38,32,12,36,88,0.537,708,831,46,496,619,44.48,342,409,45.54,36,36,50,28.44,37.02,43.45,319,398,44.49,167,213,43.95,25,30,45.45,14.97,85.92,121,152,44.32,76,97,43.93,12,26,31.58,15.79,73.2,198,246,44.59,91,116,43.96,13,4,76.47,14.29,96.55,426,474,47.33,150,180,45.45,11,6,64.71,7.33,96.67,10.53,91.2,1.017
Vegas Golden Knights,82,631.7,45,29,8,41,98,0.598,579,679,46.03,418,438,48.83,308,303,50.41,38,25,60.32,27.62,25.76,51.74,301,289,51.02,183,138,57.01,35,18,66.04,19.13,86.96,135,109,55.33,95,66,59.01,23,10,69.7,24.21,84.85,166,180,47.98,88,72,55,12,8,60,13.64,88.89,309,388,44.33,109,148,42.41,3,7,30,2.75,95.27,12.34,91.75,1.041
Ottawa Senators,82,532.1333,37,41,4,32,78,0.476,542,588,47.96,387,423,47.78,257,308,45.49,30,30,50,23.06,28.28,44.91,247,282,46.69,143,153,48.31,27,25,51.92,18.88,83.66,96,126,43.24,66,84,44,15,17,46.88,22.73,79.76,151,156,49.19,77,69,52.74,12,8,60,15.58,88.41,314,330,48.76,101,138,42.26,3,5,37.5,2.97,96.38,11.67,90.26,1.019
Carolina Hurricanes,82,655.1667,52,23,7,50,111,0.677,739,576,56.2,531,422,55.72,357,294,54.84,33,22,60,29.31,27.73,51.39,305,266,53.42,150,152,49.67,29,20,59.18,19.33,86.84,117,116,50.21,77,80,49.04,22,12,64.71,28.57,85,188,150,55.62,73,72,50.34,7,8,46.67,9.59,88.89,446,356,55.61,186,128,59.24,4,2,66.67,2.15,98.44,9.24,92.52,1.018
Montreal Canadiens,82,690,30,36,16,26,76,0.463,570,769,42.57,394,524,42.92,283,351,44.64,29,27,51.79,26.78,33.15,44.69,276,355,43.74,143,168,45.98,25,20,55.56,17.48,88.1,122,136,47.29,82,81,50.31,18,14,56.25,21.95,82.72,154,219,41.29,61,87,41.22,7,6,53.85,11.48,93.1,317,434,42.21,124,170,42.18,3,7,30,2.42,95.88,10.25,92.31,1.026
Toronto Maple Leafs,82,727.7167,46,26,10,41,102,0.622,723,771,48.39,520,516,50.19,358,332,51.88,45,34,56.96,33.29,33.69,49.7,349,346,50.22,203,177,53.42,40,27,59.7,19.7,84.75,151,144,51.19,102,100,50.5,28,18,60.87,27.45,82,198,202,49.5,101,77,56.74,12,9,57.14,11.88,88.31,405,450,47.37,132,143,48,5,7,41.67,3.79,95.1,12.57,89.76,1.023
Boston Bruins,82,780.9333,47,20,15,43,109,0.665,694,871,44.35,517,610,45.87,374,384,49.34,43,24,64.18,34.85,35.55,49.51,338,405,45.49,210,195,51.85,41,23,64.06,19.52,88.21,153,158,49.2,115,93,55.29,27,12,69.23,23.48,87.1,185,247,42.82,95,102,48.22,14,11,56,14.74,89.22,376,503,42.78,142,172,45.22,2,1,66.67,1.41,99.42,11.5,93.75,1.052
