Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,2679.95,47,30,5,44,99,0.604,2792,2620,51.59,1985,1852,51.73,1357,1321,50.67,117,98,54.42,125.31,109.91,53.27,1331,1205,52.48,711,640,52.63,98,80,55.06,13.78,87.5,547,448,54.97,363,299,54.83,65,48,57.52,17.91,83.95,784,757,50.88,348,341,50.51,33,32,50.77,9.48,90.62,1627,1533,51.49,595,613,49.25,19,17,52.78,3.19,97.23,8.62,92.58,1.012
Tampa Bay Lightning,82,2633.6667,45,29,8,42,98,0.598,2571,2505,50.65,1782,1769,50.18,1218,1272,48.92,119,141,45.77,107.54,114.59,48.41,1200,1174,50.55,625,655,48.83,103,117,46.82,16.48,82.14,487,486,50.05,320,330,49.23,68,69,49.64,21.25,79.09,713,688,50.89,305,325,48.41,35,48,42.17,11.48,85.23,1470,1396,51.29,544,547,49.86,16,23,41.03,2.94,95.8,9.77,88.92,0.987
Chicago Blackhawks,82,2551.5167,23,53,6,22,52,0.317,2160,2889,42.78,1523,2046,42.67,1074,1415,43.15,79,140,36.07,89.6,126.22,41.52,956,1384,40.85,537,733,42.28,69,110,38.55,12.85,84.99,372,577,39.2,259,368,41.31,44,75,36.97,16.99,79.62,584,807,41.98,278,365,43.23,25,35,41.67,8.99,90.41,1263,1671,43.05,483,623,43.67,10,30,25,2.07,95.18,7.36,90.11,0.975
Pittsburgh Penguins,82,2794.3,38,32,12,36,88,0.537,2955,2843,50.97,2093,2072,50.25,1443,1378,51.15,125,115,52.08,127.36,127.56,49.96,1367,1328,50.72,733,707,50.9,93,97,48.95,12.69,86.28,574,537,51.67,379,351,51.92,55,75,42.31,14.51,78.63,793,791,50.06,354,356,49.86,38,22,63.33,10.73,93.82,1735,1648,51.29,629,606,50.93,32,17,65.31,5.09,97.19,8.66,91.65,1.003
Seattle Kraken,82,2964.0167,34,35,13,31,81,0.494,3013,2912,50.85,2065,2112,49.44,1411,1411,50,107,106,50.23,122.65,119.72,50.61,1377,1260,52.22,705,642,52.34,83,88,48.54,11.77,86.29,522,499,51.13,328,306,51.74,55,61,47.41,16.77,80.07,855,761,52.91,377,336,52.88,28,27,50.91,7.43,91.96,1763,1842,48.9,634,695,47.71,24,18,57.14,3.79,97.41,7.58,92.49,1.001
Vegas Golden Knights,82,2715.7167,45,29,8,41,98,0.598,2636,2895,47.66,1859,1941,48.92,1333,1326,50.13,124,115,51.88,116.38,110.68,51.26,1250,1253,49.94,700,617,53.15,114,88,56.44,16.29,85.74,508,475,51.68,355,287,55.3,66,50,56.9,18.59,82.58,742,778,48.82,345,330,51.11,48,38,55.81,13.91,88.48,1539,1707,47.41,566,643,46.82,10,27,27.03,1.77,95.8,9.3,91.33,1.006
Ottawa Senators,82,2502.55,37,41,4,32,78,0.476,2551,2534,50.17,1798,1750,50.68,1223,1231,49.84,107,128,45.53,106.57,109.52,49.32,1130,1202,48.46,613,624,49.56,92,111,45.32,15.01,82.21,449,478,48.44,301,323,48.24,62,69,47.33,20.6,78.64,681,724,48.47,312,301,50.9,30,42,41.67,9.62,86.05,1471,1425,50.79,532,541,49.58,15,17,46.88,2.82,96.86,8.75,89.6,0.984
Carolina Hurricanes,82,2792.4,52,23,7,50,111,0.677,3410,2193,60.86,2402,1626,59.63,1551,1134,57.77,117,101,53.67,140,99.11,58.55,1463,997,59.47,708,581,54.93,103,90,53.37,14.55,84.51,571,420,57.62,358,297,54.66,70,48,59.32,19.55,83.84,892,577,60.72,350,284,55.21,33,42,44,9.43,85.21,2094,1277,62.12,786,474,62.38,14,11,56,1.78,97.68,7.54,91.09,0.986
Montreal Canadiens,82,2833.45,30,36,16,26,76,0.463,2604,3042,46.12,1861,2110,46.86,1270,1426,47.11,109,108,50.23,122.01,131.06,48.21,1195,1427,45.58,642,707,47.59,93,94,49.73,14.49,86.7,520,558,48.24,344,330,51.04,64,60,51.61,18.6,81.82,675,869,43.72,298,377,44.15,29,34,46.03,9.73,90.98,1484,1666,47.11,562,649,46.41,14,14,50,2.49,97.84,8.58,92.43,1.01
Toronto Maple Leafs,82,2760.45,46,26,10,41,102,0.622,2834,2686,51.34,2005,1888,51.5,1386,1256,52.46,133,114,53.85,125.23,119.06,51.26,1356,1222,52.6,723,650,52.66,113,95,54.33,15.63,85.38,563,515,52.23,372,345,51.88,76,65,53.9,20.43,81.16,793,707,52.87,351,305,53.51,37,30,55.22,10.54,90.16,1652,1542,51.72,587,551,51.58,20,19,51.28,3.41,96.55,9.6,90.92,1.005
Boston Bruins,82,2836.45,47,20,15,43,109,0.665,2643,2936,47.37,1909,2093,47.7,1338,1404,48.8,130,91,58.82,126.63,121.05,51.13,1275,1336,48.83,723,696,50.95,111,76,59.36,15.35,89.08,568,540,51.26,403,354,53.24,77,47,62.1,19.11,86.72,707,796,47.04,320,342,48.34,34,29,53.97,10.63,91.52,1449,1727,45.62,543,632,46.21,19,15,55.88,3.5,97.63,9.72,93.52,1.032
Winnipeg Jets,82,2925.2333,52,24,6,52,110,0.671,3002,2736,52.32,2169,1977,52.32,1504,1373,52.28,133,83,61.57,129.09,115.27,52.83,1335,1190,52.87,712,644,52.51,117,74,61.26,16.43,88.51,565,514,52.36,391,334,53.93,72,43,62.61,18.41,87.13,770,676,53.25,321,310,50.87,45,31,59.21,14.02,90,1805,1632,52.52,724,659,52.35,16,9,64,2.21,98.63,8.84,93.95,1.028
Calgary Flames,82,2811.0833,38,39,5,38,81,0.494,2950,2795,51.35,2070,1958,51.39,1424,1360,51.15,112,133,45.71,121.11,122.89,49.64,1286,1307,49.6,663,700,48.64,87,106,45.08,13.12,84.86,518,534,49.24,333,373,47.17,58,62,48.33,17.42,83.38,768,773,49.84,330,327,50.23,29,44,39.73,8.79,86.54,1805,1612,52.82,685,590,53.73,25,27,48.08,3.65,95.42,7.87,90.22,0.981
Colorado Avalanche,82,2593.15,50,25,7,48,107,0.652,2873,2494,53.53,2002,1794,52.74,1408,1242,53.13,129,118,52.23,119.64,104.14,53.46,1343,1080,55.43,713,609,53.93,111,96,53.62,15.57,84.24,566,467,54.79,356,329,51.97,62,68,47.69,17.42,79.33,777,613,55.9,357,280,56.04,49,28,63.64,13.73,90,1684,1536,52.3,639,570,52.85,18,22,45,2.82,96.14,9.16,90.5,0.997
Los Angeles Kings,82,2520.9833,44,27,11,42,99,0.604,2726,2259,54.68,1985,1580,55.68,1364,1099,55.38,111,98,53.11,114.99,95.77,54.56,1162,1022,53.21,605,530,53.3,94,82,53.41,15.54,84.53,461,416,52.57,298,276,51.92,61,50,54.95,20.47,81.88,701,606,53.63,307,254,54.72,33,32,50.77,10.75,87.4,1676,1336,55.64,690,504,57.79,17,16,51.52,2.46,96.83,8.14,91.08,0.992
Edmonton Oilers,82,2696.1667,49,27,6,47,104,0.634,2949,2369,55.45,2121,1732,55.05,1484,1203,55.23,124,112,52.54,145.15,109.96,56.9,1464,1181,55.35,767,649,54.17,103,100,50.74,13.43,84.59,675,467,59.11,437,311,58.42,75,62,54.74,17.16,80.06,789,714,52.5,330,338,49.4,28,38,42.42,8.48,88.76,1678,1304,56.27,648,502,56.35,21,12,63.64,3.24,97.61,8.36,90.69,0.99
Vancouver Canucks,82,2532.5,50,23,9,50,109,0.665,2495,2260,52.47,1768,1614,52.28,1160,1082,51.74,134,84,61.47,112.68,98.44,53.37,1193,999,54.43,612,515,54.3,113,71,61.41,18.46,86.21,520,428,54.85,325,277,53.99,79,46,63.2,24.31,83.39,673,571,54.1,287,238,54.67,34,25,57.63,11.85,89.5,1464,1367,51.71,499,524,48.78,21,13,61.76,4.21,97.52,11.55,92.24,1.038
New York Rangers,82,2820.6,55,23,4,51,114,0.695,2848,2876,49.76,2062,2048,50.17,1422,1385,50.66,120,117,50.63,120.03,127.07,48.57,1298,1314,49.69,686,713,49.04,92,103,47.18,13.41,85.55,519,556,48.28,328,356,47.95,54,67,44.63,16.46,81.18,779,758,50.68,358,357,50.07,38,36,51.35,10.61,89.92,1696,1628,51.02,674,607,52.62,28,14,66.67,4.15,97.69,8.44,91.55,1
Buffalo Sabres,82,2757.9667,39,37,6,37,84,0.512,2696,2630,50.62,1929,1902,50.35,1353,1271,51.56,121,114,51.49,110.34,119.25,48.06,1206,1225,49.61,665,658,50.26,97,94,50.79,14.59,85.71,447,520,46.23,289,339,46.02,45,62,42.06,15.57,81.71,759,705,51.84,376,319,54.1,52,32,61.9,13.83,89.97,1604,1550,50.86,629,556,53.08,23,20,53.49,3.66,96.4,8.94,91.03,1
Philadelphia Flyers,82,2744.65,38,33,11,34,87,0.53,2888,2757,51.16,2089,1784,53.94,1451,1227,54.18,100,120,45.45,118.13,108,52.24,1252,1204,50.98,683,579,54.12,82,100,45.05,12.01,82.73,530,465,53.27,351,291,54.67,50,60,45.45,14.25,79.38,722,739,49.42,332,288,53.55,32,40,44.44,9.64,86.11,1775,1646,51.89,698,581,54.57,18,20,47.37,2.58,96.56,6.89,90.22,0.971
Columbus Blue Jackets,82,2896.5667,27,43,12,24,66,0.402,2859,3170,47.42,2022,2227,47.59,1381,1580,46.64,123,140,46.77,120.46,139.16,46.4,1293,1484,46.56,679,774,46.73,101,114,46.98,14.87,85.27,475,593,44.48,310,383,44.73,61,67,47.66,19.68,82.51,818,891,47.86,369,391,48.55,40,47,45.98,10.84,87.98,1643,1833,47.27,622,744,45.53,22,26,45.83,3.54,96.51,8.91,91.14,1
Detroit Red Wings,82,2826.4167,41,32,9,38,91,0.555,2566,3039,45.78,1805,2156,45.57,1248,1470,45.92,124,139,47.15,102.82,129.27,44.3,1111,1398,44.28,566,730,43.67,94,121,43.72,16.61,83.42,397,538,42.46,263,347,43.11,58,75,43.61,22.05,78.39,714,860,45.36,303,383,44.17,36,46,43.9,11.88,87.99,1528,1824,45.58,594,676,46.77,30,18,62.5,5.05,97.34,9.94,90.54,1.005
New Jersey Devils,82,2800.55,38,39,5,38,81,0.494,2824,2700,51.12,1984,1985,49.99,1350,1405,49,121,141,46.18,127.07,127.21,49.97,1275,1253,50.44,648,702,48,108,124,46.55,16.67,82.34,517,539,48.96,332,375,46.96,71,82,46.41,21.39,78.13,758,714,51.49,316,327,49.14,37,42,46.84,11.71,87.16,1679,1529,52.34,654,628,51.01,13,17,43.33,1.99,97.29,8.96,89.96,0.989
St Louis Blues,82,2676.6167,43,33,6,38,92,0.561,2371,2880,45.15,1720,2081,45.25,1228,1439,46.04,109,113,49.1,100.72,129.06,43.83,1082,1328,44.9,606,707,46.15,92,93,49.73,15.18,86.85,433,577,42.87,306,375,44.93,56,58,49.12,18.3,84.53,649,751,46.36,300,332,47.47,36,35,50.7,12,89.46,1411,1713,45.17,563,668,45.74,17,20,45.95,3.02,97.01,8.88,92.15,1.01
