Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
New Jersey Devils,82,3950.2333,38,39,5,38,81,0.494,3992.03,3724.1,51.74,2821.06,2747.66,50.66,1940,1919.02,50.27,176.94,186.02,48.75,183.73,172.62,51.56,1821.54,1723.99,51.38,955.2,962.7,49.8,152.87,159.78,48.89,16,83.4,753.68,733.29,50.69,493.75,510.21,49.18,100.39,103.07,49.34,20.33,79.8,1064.68,991.19,51.79,461.58,453,50.47,52.12,56.99,47.77,11.29,87.42,2385.52,2106.07,53.11,902.22,846.13,51.6,24.18,25.62,48.55,2.68,96.97,9.12,90.31,0.994
Detroit Red Wings,82,3936.6333,41,32,9,38,91,0.555,3491.23,4175.98,45.53,2501.85,2990.55,45.55,1739.93,2042.4,46,175.73,188.1,48.3,146.71,174.74,45.64,1554.28,1928.32,44.63,829.47,1008.01,45.14,140.28,163.83,46.13,16.91,83.75,586.14,726.95,44.64,403.58,466.2,46.4,82.66,102.34,44.68,20.48,78.05,965.35,1201.75,44.55,426.81,541.92,44.06,57.77,61.44,48.46,13.54,88.66,2094.38,2502.06,45.57,800.44,944.76,45.87,35.03,23.91,59.43,4.38,97.47,10.1,90.79,1.009
Edmonton Oilers,82,3997.4833,49,27,6,47,104,0.634,4315.08,3456.47,55.52,3114.98,2530,55.18,2195.44,1768.16,55.39,192.66,153.29,55.69,212.68,158.68,57.27,2158.04,1680,56.23,1151.93,926.3,55.43,163.29,138.3,54.14,14.18,85.07,970.32,666.1,59.3,638.66,444.5,58.96,117.93,88.19,57.22,18.47,80.16,1186.42,1010.74,54,512.35,481.23,51.57,45.11,50.08,47.39,8.8,89.59,2455.39,1940.34,55.86,935.17,757.46,55.25,29.85,14.71,66.99,3.19,98.06,8.78,91.33,1.001
Columbus Blue Jackets,82,4017.6,27,43,12,24,66,0.402,3958.72,4381.46,47.47,2796.81,3131.73,47.18,1919.54,2220.83,46.36,174.83,195.17,47.25,167.57,197.41,45.91,1778.22,2058.15,46.35,925.72,1077.44,46.21,146.14,163.04,47.27,15.79,84.87,662.4,848.5,43.84,433.05,549.45,44.08,88.54,97.65,47.55,20.45,82.23,1113.1,1210.19,47.91,492.63,528.61,48.24,57.64,65.39,46.85,11.7,87.63,2287.82,2540.19,47.39,882.64,1047.86,45.72,28.67,32.47,46.89,3.25,96.9,9.11,91.21,1.003
Colorado Avalanche,82,3904.3333,50,25,7,48,107,0.652,4213.82,3713.59,53.16,2953.84,2670.43,52.52,2080.62,1847.78,52.96,195,166.11,54,174.83,161.1,52.04,1982.27,1641.49,54.7,1067.74,903.17,54.17,165.01,135.9,54.84,15.45,84.95,821.96,704.13,53.86,536.1,486.89,52.4,95.67,94.98,50.18,17.84,80.49,1161.86,935.87,55.39,531.35,416.78,56.04,69.01,40.79,62.85,12.99,90.21,2458.56,2236.6,52.36,919.5,846.12,52.08,29.87,30.24,49.69,3.25,96.43,9.37,91.01,1.004
Florida Panthers,82,3793.8833,52,24,6,49,110,0.671,4247.09,3263.33,56.55,2914.4,2441.16,54.42,2039.11,1665.25,55.05,155.57,118.79,56.7,175.36,144.3,54.86,1848.78,1460.58,55.87,948.17,832.17,53.26,122.3,104.08,54.02,12.9,87.49,754.62,636.29,54.25,485.48,445.47,52.15,71.73,69.86,50.66,14.78,84.32,1095.32,821.76,57.13,461.99,386.57,54.44,50.23,34.38,59.37,10.87,91.11,2577.51,1908.15,57.46,995.96,727.07,57.8,32.31,15.01,68.27,3.24,97.94,7.63,92.87,1.005
Carolina Hurricanes,82,3956.6,52,23,7,50,111,0.677,4740.52,3118.52,60.32,3363.18,2319.74,59.18,2164.05,1634.81,56.97,169.24,145.23,53.82,194.98,144.05,57.51,2024.13,1431.18,58.58,991.49,837.52,54.21,143.24,130.39,52.35,14.45,84.43,804.6,614.39,56.7,492.45,428.49,53.47,96.61,71.69,57.4,19.62,83.27,1222.49,813.46,60.05,499.27,408.35,55.01,46.63,58.71,44.27,9.34,85.62,2926,1820.84,61.64,1097.52,683.58,61.62,26.27,14.94,63.74,2.39,97.81,7.82,91.12,0.989
Montreal Canadiens,82,3927.6,30,36,16,26,76,0.463,3536.16,4259.92,45.36,2525.64,2974.26,45.92,1730.37,2036.69,45.93,159.87,163.73,49.4,162.07,188.99,46.17,1627.33,2022.95,44.58,874.85,1042.86,45.62,138.09,141.68,49.36,15.78,86.41,692.58,805.95,46.22,459.59,496.61,48.06,85.88,83.15,50.81,18.69,83.26,933.37,1215.88,43.43,415.06,546.05,43.19,52.45,58.37,47.33,12.64,89.31,2005.5,2348.66,46.06,766.24,898.87,46.02,19.57,21.54,47.61,2.55,97.6,9.24,91.96,1.012
Winnipeg Jets,82,4006.1167,52,24,6,52,110,0.671,4031.94,3744.4,51.85,2944.36,2717.62,52,2024.33,1883.69,51.8,177.67,120.27,59.63,175.09,162.19,51.91,1802.03,1688.81,51.62,968.75,915.6,51.41,153.66,106.6,59.04,15.86,88.36,762.21,737.13,50.84,522.21,482.79,51.96,97.5,72.51,57.35,18.67,84.98,1042.02,947.28,52.38,446.85,433.09,50.78,56.14,33.85,62.38,12.56,92.18,2409.45,2210.21,52.16,962.61,865.06,52.67,24.21,13.82,63.66,2.52,98.4,8.78,93.62,1.024
St Louis Blues,82,3981.8833,43,33,6,38,92,0.561,3435.13,4172.65,45.15,2529.62,3044.04,45.39,1795.07,2115.04,45.91,150.03,166.48,47.4,149.43,189.14,44.14,1602.71,1946.87,45.15,896.96,1033.77,46.46,129.27,138.72,48.24,14.41,86.58,638.62,839.73,43.2,438.14,540.64,44.76,74.83,89.78,45.46,17.08,83.39,962.26,1106.33,46.52,458.52,492.02,48.24,54.77,48.61,52.98,11.94,90.12,2010.47,2494.8,44.62,805.41,989.06,44.88,20.91,27.2,43.47,2.6,97.25,8.36,92.13,1.005
