Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Chicago Blackhawks,82,827.3833,23,53,6,22,52,0.317,687.66,957.44,41.8,497.57,679.02,42.29,341.92,468.86,42.17,24.81,50.28,33.04,29.02,41.16,41.35,309.1,435.69,41.5,163.14,236.33,40.84,22.07,36.97,37.38,13.53,84.35,99.62,191.44,34.23,65.2,123.67,34.52,11.38,30.36,27.27,17.46,75.45,205.5,248.18,45.3,98.2,112.85,46.53,10.86,6.79,61.54,11.06,93.99,408.55,569.94,41.75,162.91,214.57,43.16,2.77,13.85,16.64,1.7,93.54,7.26,89.28,0.965
Edmonton Oilers,82,647.6167,49,27,6,47,104,0.634,752.17,564.81,57.11,535.85,424.67,55.79,366.84,296.19,55.33,31.8,27.02,54.06,37.9,27.58,57.88,380.24,296.25,56.21,199.45,172.75,53.59,29.25,24.62,54.3,14.67,85.75,163.09,125.38,56.54,104.17,83.77,55.43,20.2,13.51,59.92,19.39,83.87,212.94,173.6,55.09,95.04,88.85,51.68,9.04,10.95,45.22,9.51,87.68,411.62,295.26,58.23,153.17,107.8,58.69,2.72,2.22,55.01,1.77,97.94,8.67,90.88,0.995
San Jose Sharks,82,790.25,19,54,9,18,47,0.287,690.71,1035.16,40.02,502.65,720.73,41.09,347.45,502.84,40.86,20.45,52.87,27.89,30.47,46.52,39.58,319.98,496.97,39.17,163.1,266.37,37.98,19.75,42.92,31.52,12.11,83.89,143.87,200.5,41.78,81.59,124.79,39.53,12.58,27.92,31.06,15.42,77.62,173,301.42,36.47,81.41,141.52,36.52,7.21,14.91,32.6,8.86,89.47,393.51,616.34,38.97,165.87,222.23,42.74,0.89,9.9,8.24,0.54,95.55,5.89,89.49,0.954
Vancouver Canucks,82,412.4333,50,23,9,50,109,0.665,432.1,352.32,55.09,297.59,253.44,54.01,192.77,179.69,51.76,18.43,20.91,46.84,18.39,16.26,53.08,193.63,166.56,53.76,95.47,100.68,48.67,14.91,20.72,41.85,15.62,79.42,92.83,63.43,59.41,57.17,48.81,53.95,8.81,12.52,41.31,15.42,74.34,99.05,104.85,48.58,38,51.87,42.28,6.15,8.12,43.11,16.2,84.34,280.69,209.94,57.21,89.3,75.06,54.33,3.56,0,100,3.98,100,9.56,88.36,0.979
Seattle Kraken,82,805.8167,34,35,13,31,81,0.494,790.93,812.56,49.33,515.33,587,46.75,357.53,394.22,47.56,22.39,31.06,41.88,29.51,37.08,44.32,361.95,389.48,48.17,175.55,200.73,46.65,15.93,24.71,39.2,9.08,87.69,117.03,159.57,42.31,69.01,97.72,41.39,8.81,17.66,33.3,12.77,81.93,240.5,233.74,50.71,107,103.14,50.92,7.21,7.08,50.46,6.74,93.13,477.99,473.38,50.24,164.88,177.01,48.23,6.32,6.47,49.43,3.83,96.35,6.26,92.12,0.984
Toronto Maple Leafs,82,691.9167,46,26,10,41,102,0.622,671.3,675.72,49.84,461.92,482.75,48.9,328.69,326.43,50.17,30.52,24.6,55.37,30.41,29.44,50.81,336.06,313.03,51.77,187.75,162.78,53.56,25.89,19.46,57.09,13.79,88.04,135.02,131.49,50.66,92.32,82.24,52.89,14.87,13.61,52.22,16.11,83.46,196.88,184.48,51.63,94.93,80.6,54.08,11.15,5.85,65.61,11.75,92.75,406.38,374.43,52.05,127.44,148.18,46.24,4.59,5.31,46.38,3.6,96.42,9.29,92.46,1.017
Pittsburgh Penguins,82,722.9667,38,32,12,36,88,0.537,793.09,730.37,52.06,564.8,528.23,51.67,391.23,356.72,52.31,24.41,25.85,48.56,35.75,32.97,52.03,378.11,318.56,54.27,208.27,180.38,53.59,18.82,19.37,49.29,9.04,89.26,161.8,145.45,52.66,103.76,105.96,49.47,10.65,16.39,39.39,10.27,84.53,212.57,175.97,54.71,104.33,74.87,58.22,8.27,3.12,72.62,7.93,95.84,468.85,433.19,51.98,163.45,161.98,50.23,5.48,5.46,50.12,3.35,96.63,6.24,92.75,0.99
Calgary Flames,82,949.1667,38,39,5,38,81,0.494,927.24,979.14,48.64,660.29,702.88,48.44,441.45,478,48.01,36.42,40.31,47.46,40.21,44.25,47.61,417.84,463.42,47.41,217.71,259.51,45.62,28.13,34.93,44.61,12.92,86.54,172,191.25,47.35,117.99,137.98,46.1,21.12,17.84,54.2,17.9,87.07,241.25,276.86,46.56,99.39,122.05,44.88,6.92,16.79,29.18,6.96,86.24,557.12,560.7,49.84,204.21,193.84,51.3,8.15,5.36,60.33,3.99,97.24,8.25,91.57,0.998
Detroit Red Wings,82,757.0833,41,32,9,38,91,0.555,680.17,828.45,45.09,476.59,589.45,44.71,331.86,403.65,45.12,41.74,34.93,54.44,24.45,33.39,42.28,284.04,379.74,42.79,135.26,196.1,40.82,29.44,28.33,50.96,21.77,85.55,94.28,153.11,38.11,57.75,103.98,35.71,17.54,17.56,49.96,30.37,83.11,186.35,230.38,44.72,77.81,92.49,45.69,12.02,10.65,53,15.44,88.48,422.98,509.26,45.37,177.04,186.09,48.75,11.9,6.57,64.45,6.72,96.47,12.58,91.35,1.039
Carolina Hurricanes,82,658.0167,52,23,7,50,111,0.677,783.25,475.88,62.21,562.1,348.83,61.71,357.76,243.86,59.47,24.41,24.6,49.8,33.4,18.84,63.94,339.67,218.7,60.83,173.56,128.37,57.48,22.73,21.32,51.61,13.1,83.39,139.14,79.03,63.78,89.93,58.79,60.47,17.35,10.27,62.83,19.3,82.54,196.88,141.74,58.14,83.27,69.41,54.54,5.29,10.85,32.78,6.35,84.37,501.21,266.75,65.26,173.09,89.2,65.99,1.83,3.23,36.1,1.06,96.37,6.82,89.91,0.967
