Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1493.1167,47,30,5,44,99,0.604,1550.31,1361.26,53.25,1139.15,986.01,53.6,796.88,700.47,53.22,62.01,56.63,52.27,69.99,60.3,53.72,697.02,607.75,53.42,393.63,337.87,53.81,51.1,45.29,53.02,12.98,86.6,293.58,252.99,53.71,199.24,173.16,53.5,32,23.41,57.75,16.06,86.48,410.67,347.23,54.19,194.77,164.48,54.21,18.99,22.33,45.97,9.75,86.43,959.53,833.66,53.51,367.59,313.88,53.94,10.93,10.09,52.01,2.97,96.79,7.78,91.92,0.997
Tampa Bay Lightning,82,1405.5,45,29,8,42,98,0.598,1399.73,1318.79,51.49,979.79,922.6,51.5,661.9,645.96,50.61,63.48,55.26,53.46,59.59,56.52,51.32,673.31,598.2,52.95,345.23,331.15,51.04,51.64,46.07,52.85,14.96,86.09,276.88,239.4,53.63,184.33,161.49,53.3,35.88,28.22,55.98,19.47,82.53,403.82,350.56,53.53,161.36,169.38,48.79,15.88,17.88,47.04,9.84,89.45,751.38,796.76,48.53,286.68,285.2,50.13,11.95,9.11,56.73,4.17,96.8,9.59,91.45,1.01
Chicago Blackhawks,82,769.9167,23,53,6,22,52,0.317,606.75,869.52,41.1,412.87,628.65,39.64,293.65,442.53,39.89,23.24,38.18,37.83,23.58,40.37,36.87,267.35,435.3,38.05,147.97,237.96,38.34,19.05,27.87,40.6,12.87,88.29,95.36,184.2,34.11,65.09,124.46,34.34,11.3,17.91,38.67,17.36,85.61,175.54,246.13,41.63,82.74,113.41,42.18,7.76,10.02,43.65,9.38,91.16,358.41,491.33,42.18,134.39,186.98,41.82,4.25,10,29.84,3.17,94.65,7.91,91.37,0.993
Pittsburgh Penguins,82,1359.6833,38,32,12,36,88,0.537,1422.03,1366.4,51,1016.34,1012.49,50.09,696.5,684.91,50.42,63.16,61.52,50.66,60.42,60.44,49.99,643.91,648.45,49.82,340.97,351.36,49.25,47.18,49.51,48.79,13.84,85.91,258.82,243.38,51.54,168.42,161.99,50.97,27.37,39.06,41.2,16.25,75.88,393.12,396.57,49.78,173.19,189.74,47.72,19.62,10.29,65.6,11.33,94.58,838.99,795.76,51.32,316.01,302.51,51.09,16.34,11.86,57.94,5.17,96.08,9.07,91.02,1.001
Vegas Golden Knights,82,1383.95,45,29,8,41,98,0.598,1445.76,1331.47,52.06,1039.31,912.49,53.25,761.18,622.97,54.99,65.78,52.02,55.84,61.79,53.6,53.55,690.47,610.41,53.08,396.18,303.2,56.65,60.18,43.81,57.87,15.19,85.55,279.54,243.9,53.4,195.45,145.65,57.3,38.2,25.04,60.4,19.55,82.81,419.16,358.33,53.91,201,157.51,56.07,21.88,18.93,53.61,10.89,87.98,825.7,740.9,52.71,321.2,281.47,53.3,5.31,8.19,39.31,1.65,97.09,8.64,91.65,1.003
Ottawa Senators,82,1138.95,37,41,4,32,78,0.476,1179.58,1115.39,51.4,851.22,807.75,51.31,588.02,581.59,50.27,50.99,55.45,47.91,50.7,53.19,48.8,508.65,554.71,47.83,302.66,299.37,50.27,46.41,47.35,49.5,15.33,84.18,221.23,223.82,49.71,152.31,149.39,50.48,25.73,30.18,46.03,16.89,79.8,292.53,323.1,47.52,150.72,149.5,50.2,20.61,17.05,54.74,13.68,88.6,715,612.75,53.85,252.01,251.52,50.05,4.3,8.17,34.49,1.71,96.75,8.67,90.47,0.991
Carolina Hurricanes,82,1447.05,52,23,7,50,111,0.677,1717.05,1166.27,59.55,1236.94,873.49,58.61,810.08,612.39,56.95,67.8,49.78,57.67,68.54,57.13,54.54,713.4,550.66,56.44,353.71,316.25,52.8,54.92,45.58,54.64,15.53,85.59,281.16,243.72,53.57,171.05,161.95,51.37,37.18,25.63,59.19,21.74,84.17,440.39,300.4,59.45,182.88,153.96,54.29,17.86,20.18,46.95,9.76,86.89,1058.09,699.01,60.22,426.23,258.21,62.27,13.07,4.48,74.46,3.07,98.26,8.37,91.87,1.002
Montreal Canadiens,82,1151.7333,30,36,16,26,76,0.463,995.05,1245.39,44.41,690.3,858.03,44.58,487.28,580.24,45.65,46.03,52.19,46.87,43,56.93,43.03,458.52,612.48,42.81,238.51,306.23,43.78,40.37,42.1,48.95,16.93,86.25,189.86,240.42,44.13,128.5,150.41,46.07,28.29,26.09,52.03,22.02,82.65,273.52,363.86,42.91,110.15,155.58,41.45,12.07,16.06,42.91,10.96,89.67,553.82,683.03,44.78,217.91,250.15,46.56,4.34,9.96,30.37,1.99,96.02,9.45,91.01,1.005
Toronto Maple Leafs,82,1516.8333,46,26,10,41,102,0.622,1584.32,1448.39,52.24,1152.85,1012.11,53.25,810.4,658.14,55.18,90.62,68.79,56.85,73.01,65.11,52.86,745.77,685.69,52.1,440.53,347.54,55.9,83.42,52.97,61.17,18.94,84.76,337.62,274.2,55.18,235.52,187.57,55.67,55.34,33.99,61.95,23.5,81.88,415.21,402.15,50.8,205.6,159.45,56.32,27.81,19.07,59.33,13.53,88.04,909.61,808.74,52.94,326.29,280.56,53.77,6.57,15.42,29.86,2.01,94.5,11.18,89.55,1.007
Boston Bruins,82,1553.1333,47,20,15,43,109,0.665,1419.42,1518.17,48.32,1032.76,1085.2,48.76,722.73,716.5,50.22,71.79,56.04,56.16,64.87,64.77,50.04,684.77,714.87,48.92,388.03,353.63,52.32,67.87,50.83,57.18,17.49,85.63,293.78,291.73,50.18,207.22,177.9,53.81,45.1,30.22,59.88,21.77,83.01,398.32,414.1,49.03,181.33,175.52,50.81,22.61,20.85,52.02,12.47,88.12,770.03,885.55,46.51,288.46,324.25,47.08,3.29,5.46,37.61,1.14,98.32,9.93,92.18,1.021
Calgary Flames,82,1077.85,38,39,5,38,81,0.494,1108.88,1079.79,50.66,787.66,755.67,51.04,546.83,516.25,51.44,40.36,50.76,44.29,46.01,45.37,50.35,473.81,497.89,48.76,251.96,264.49,48.79,33.99,40.66,45.54,13.49,84.63,184.41,192.06,48.98,125.18,131.76,48.72,23.22,23.56,49.63,18.55,82.12,294.93,298.86,49.67,126.98,132.37,48.96,10.98,17.11,39.08,8.64,87.07,666.16,630.56,51.37,252.07,218.1,53.61,6.43,9.06,41.49,2.55,95.85,7.38,90.17,0.975
Colorado Avalanche,82,1498.9833,50,25,7,48,107,0.652,1583.97,1310.28,54.73,1111.9,948.07,53.98,786.95,636.74,55.28,79.23,45,63.78,65.16,59.46,52.29,746.38,602.68,55.33,416.6,316.86,56.8,68.13,37.75,64.35,16.35,88.09,297.12,263.26,53.02,202.24,168.78,54.51,36.13,28.68,55.75,17.87,83.01,457.37,332.17,57.93,214.08,147.79,59.16,31.76,8.9,78.11,14.83,93.98,915.64,777.15,54.09,331.84,286.06,53.7,10.91,7.25,60.05,3.29,97.46,10.07,92.93,1.03
Vancouver Canucks,82,1810.3667,50,23,9,50,109,0.665,1755.95,1537.97,53.31,1261.64,1110.19,53.19,839.88,774.28,52.03,87.63,63.63,57.93,78.37,69.24,53.09,848.75,700.34,54.79,444.57,375.87,54.19,74.58,50.71,59.53,16.78,86.51,373.09,296.81,55.69,237.45,200.28,54.25,50.97,28.11,64.45,21.47,85.96,483.61,394.86,55.05,207.5,175.08,54.24,23.58,23.14,50.47,11.37,86.78,1015.05,938.69,51.95,357.19,361.74,49.68,13.01,12.71,50.59,3.64,96.49,10.43,91.78,1.022
New York Rangers,82,1458.0167,55,23,4,51,114,0.695,1382.11,1467.19,48.51,997.11,1045.95,48.8,687.09,706.81,49.29,59.49,61.73,49.07,58.39,66.31,46.82,649.61,697.23,48.23,346.59,367.33,48.55,46.78,52.67,47.04,13.5,85.66,268.11,275.12,49.35,180.27,186.55,49.14,28.97,35.4,45.01,16.07,81.03,388.38,412.75,48.48,166.65,180.08,48.06,17.69,17.15,50.78,10.62,90.47,807.34,830.18,49.3,319.92,307.74,50.97,12.97,9.07,58.84,4.05,97.05,8.66,91.27,0.999
Philadelphia Flyers,82,1197.25,38,33,11,34,87,0.53,1167.65,1148.12,50.42,846.37,762.87,52.59,611.37,509.48,54.55,40.19,44.65,47.38,50.11,45.65,52.33,515.76,527.94,49.42,299.03,237.66,55.72,35.77,37.5,48.82,11.96,84.22,223.28,202.13,52.49,148.89,118.46,55.69,21.91,23.34,48.42,14.72,80.3,298.03,318.87,48.31,150.48,119.05,55.83,13.89,14.29,49.3,9.23,88,651.82,666.42,49.45,270.48,238.74,53.12,4.3,7.19,37.43,1.59,96.99,6.57,91.24,0.978
Detroit Red Wings,82,1075.8333,41,32,9,38,91,0.555,898.76,1075.7,45.52,654.57,759.27,46.3,482.97,515.81,48.36,51.39,50.72,50.33,39.39,44.65,46.87,389.38,519.44,42.84,242.66,252.57,49,43.77,42.4,50.8,18.04,83.21,161.76,197.12,45.07,128.23,114.54,52.82,24.07,29.39,45.02,18.77,74.34,231.74,315.13,42.38,114.81,137.98,45.42,19.6,13.08,59.98,17.08,90.52,558.97,625.33,47.2,212.06,240.62,46.85,7.54,8.29,47.65,3.56,96.56,10.64,90.17,1.008
New Jersey Devils,82,1141.45,38,39,5,38,81,0.494,1208.1,1035.57,53.84,864.67,773.01,52.8,604.26,546,52.53,58.41,49.39,54.18,58.19,46.95,55.35,541.79,475.99,53.23,291.23,272.46,51.66,47.34,37.27,55.95,16.26,86.32,248.85,196.79,55.84,167.53,134.71,55.43,29.04,19.08,60.35,17.34,85.84,298.22,272.73,52.23,124.28,137.11,47.55,18.02,18.31,49.6,14.5,86.64,728.16,611.99,54.33,281.16,240.48,53.9,11.11,11.77,48.56,3.95,95.11,9.67,90.95,1.006
Dallas Stars,82,1530.35,52,21,9,48,113,0.689,1590.15,1437.16,52.53,1162.01,1025.89,53.11,796.14,706.6,52.98,74.62,61.21,54.94,69.43,56.38,55.19,770.09,628.1,55.08,419.24,329.7,55.98,63.56,53.06,54.5,15.16,83.91,304.62,233.28,56.63,197.94,157.38,55.71,40.97,34.11,54.57,20.7,78.33,474,386.6,55.08,221.29,172.41,56.21,22.72,18.97,54.5,10.27,89,931.83,910.39,50.58,350.05,338.1,50.87,10.9,8.18,57.11,3.11,97.58,9.37,91.34,1.007
Minnesota Wild,82,1203.9,39,33,10,36,88,0.537,1199.02,1126.2,51.57,868.76,777.03,52.79,604.67,538.55,52.89,43.47,51.53,45.76,45.65,41.78,52.21,542.13,490.54,52.5,282.15,258.49,52.19,37.79,39.59,48.84,13.39,84.68,196.22,179.42,52.24,128.99,111.73,53.58,19.7,22.48,46.7,15.27,79.88,352.09,304.99,53.58,153.11,147.27,50.97,17.86,17.27,50.84,11.67,88.27,718.06,709.65,50.29,293.69,254.93,53.53,5.52,11.74,32,1.88,95.4,7.19,90.43,0.976
Arizona Coyotes,82,1060.1833,36,41,5,34,77,0.47,1062.67,1047.92,50.35,757.4,752.38,50.17,502.28,527.31,48.78,48.21,44.19,52.18,44.96,48.09,48.32,486.46,525.33,48.08,243.77,287.29,45.9,41.47,35.98,53.55,17.01,87.48,184,222.31,45.29,115.83,147.31,44.02,25.48,25.82,49.67,21.99,82.47,307.71,296.04,50.97,127.8,139.18,47.87,15.97,10.13,61.2,12.5,92.72,619.45,610.04,50.38,237.74,216.08,52.39,6.58,8.14,44.71,2.77,96.23,9.6,91.62,1.012
Florida Panthers,82,1497.2833,52,24,6,49,110,0.671,1676.94,1322.73,55.9,1156.34,988.91,53.9,817.8,679.25,54.63,58.18,50.51,53.53,70.27,59.56,54.12,751.48,589.77,56.03,378.22,346.89,52.16,46.31,46.28,50.01,12.24,86.66,297.89,273.15,52.17,188.06,190.87,49.63,27,30.14,47.25,14.36,84.21,461.31,309.9,59.82,190.34,155.14,55.09,19.12,16.21,54.12,10.04,89.55,1001.72,771.79,56.48,407.31,287.34,58.63,12.06,4.48,72.9,2.96,98.44,7.11,92.56,0.997
Winnipeg Jets,82,1471.75,52,24,6,52,110,0.671,1455.51,1401.36,50.95,1083.77,1007.23,51.83,767.8,694.98,52.49,68.66,47.16,59.28,65.14,63.75,50.54,669.81,681.72,49.56,379.29,365.33,50.94,56.88,41.77,57.66,15,88.57,295.13,295.33,49.98,209.02,194.25,51.83,34.88,32.54,51.74,16.69,83.25,381.71,378.38,50.22,171.09,170.81,50.04,21.96,9.14,70.61,12.84,94.65,872.69,783.49,52.69,355.14,295.79,54.56,11.85,5.51,68.24,3.34,98.14,8.94,93.21,1.022
Columbus Blue Jackets,82,1188.8167,27,43,12,24,66,0.402,1209.28,1328.27,47.66,839.12,984.54,46.01,571.1,687.96,45.36,54.2,71,43.29,47.95,63.68,42.95,520.6,640.02,44.86,265.41,343.05,43.62,46.68,63.86,42.23,17.59,81.38,195.65,272.18,41.82,121.1,165.48,42.26,28.77,37.1,43.67,23.76,77.58,331,360.3,47.88,144.28,177.4,44.85,17.7,26.95,39.65,12.27,84.81,724.04,775.19,48.29,278.36,315.05,46.91,7.5,7.35,50.5,2.69,97.67,9.49,89.68,0.992
New York Islanders,82,1461.5167,39,27,16,38,94,0.573,1361.11,1587.27,46.16,990.48,1114.12,47.06,681.67,754.24,47.47,62.92,60.2,51.1,61.67,67.96,47.57,648.19,737.14,46.79,348.56,369.84,48.52,53.07,47.99,52.51,15.22,87.02,260.06,289.54,47.32,176.76,180.93,49.42,32.56,24.41,57.15,18.42,86.51,395.25,438.46,47.41,172.05,188.94,47.66,20.06,23.92,45.62,11.66,87.34,799.81,909.59,46.79,301.91,351.99,46.17,9.82,11.94,45.14,3.25,96.61,9.23,92.02,1.012
Seattle Kraken,82,1249.5833,34,35,13,31,81,0.494,1275.92,1138.86,52.84,885.11,824.92,51.76,604.3,538.27,52.89,55.27,45.62,54.78,54.32,45.39,54.48,584.38,490.34,54.38,300.4,228.34,56.81,46.59,39.31,54.23,15.51,82.78,251.45,189.71,57,152.66,98.49,60.78,30.59,20.5,59.87,20.04,79.18,339.04,294.05,53.55,147.86,130,53.22,15.97,19.08,45.57,10.8,85.32,749.28,736.31,50.44,272.69,273.67,49.91,8.65,6.36,57.61,3.17,97.68,9.15,91.52,1.007
Edmonton Oilers,82,1485.4833,49,27,6,47,104,0.634,1574.02,1231.06,56.11,1163.02,898.96,56.4,825.96,610,57.52,89.53,42.87,67.62,78.35,57.66,57.61,814.39,613.11,57.05,454.16,321.74,58.53,72.55,37.56,65.89,15.97,88.33,362.02,233.77,60.76,245.65,152.02,61.77,56.37,26.59,67.95,22.95,82.51,459.24,370.99,55.31,208.28,169.38,55.15,16.04,11.06,59.19,7.7,93.47,866.16,702.33,55.22,333.08,261.94,55.98,17.2,5.43,76.01,5.16,97.93,10.84,92.97,1.038
San Jose Sharks,82,761.2333,19,54,9,18,47,0.287,718.78,876.64,45.05,504.71,642.77,43.98,351.55,453.96,43.64,27.79,41.8,39.93,28.65,41.13,41.06,322.39,411.63,43.92,180.65,237.35,43.22,23.5,38.33,38,13.01,83.85,113.79,161.32,41.36,83.74,107.57,43.77,10.41,22.46,31.68,12.44,79.12,212.11,245.54,46.35,96.8,129.8,42.72,12.83,16.12,44.3,13.25,87.58,430.62,548.89,43.96,156.98,198.14,44.21,4.3,3.65,54.07,2.74,98.16,7.9,90.79,0.987
Anaheim Ducks,82,766.75,27,50,5,26,59,0.36,713.44,768.64,48.14,510.98,546.32,48.33,352.66,372.42,48.64,30.95,30.97,49.98,32.75,32.2,50.42,319.87,353.08,47.53,187.93,180.33,51.03,23.53,29.36,44.49,12.52,83.72,146.32,161.04,47.6,109.41,102.38,51.66,14.67,16.68,46.78,13.4,83.7,176.32,188.03,48.39,78.88,77.58,50.42,8.94,12.75,41.2,11.33,83.56,417.05,468.31,47.11,137.66,169.34,44.84,7.6,1.82,80.67,5.52,98.93,8.78,91.68,1.005
Buffalo Sabres,82,1123.0667,39,37,6,37,84,0.512,1107.84,1044.36,51.47,802.41,751.47,51.64,576.58,488.93,54.11,61.42,39.63,60.78,47.85,47.82,50.02,497.54,516.52,49.06,292.54,252.17,53.71,52.74,30.11,63.66,18.03,88.06,193.5,205.23,48.53,124.21,121.22,50.61,21.41,22.14,49.17,17.24,81.74,309.12,304.38,50.39,167.8,130.56,56.24,30.73,7.92,79.51,18.31,93.94,637.22,614.6,50.9,255.28,219.65,53.75,7.49,9.15,45,2.93,95.83,10.65,91.89,1.025
Los Angeles Kings,82,1540.2167,44,27,11,42,99,0.604,1623.2,1310.33,55.33,1196.47,930.14,56.26,842.56,631.44,57.16,81.04,48.46,62.58,70.73,52.78,57.27,728.46,604.02,54.67,393.58,309.89,55.95,64.88,41.11,61.22,16.49,86.73,298.34,223.43,57.18,201.05,133.49,60.1,39.15,26.89,59.28,19.47,79.85,438.66,371.5,54.15,192.98,176.67,52.21,25.72,14.13,64.54,13.33,92,950.27,776.58,55.03,399.75,280.03,58.81,16.31,7.35,68.94,4.08,97.38,9.62,92.32,1.019
St Louis Blues,82,1255.0333,43,33,6,38,92,0.561,1097.8,1274.64,46.27,809.95,940.11,46.28,583.35,648.65,47.35,50.24,53.52,48.42,49.41,62.44,44.17,519.67,638.06,44.89,290.05,336.15,46.32,41.6,47.32,46.78,14.34,85.92,210.12,299.06,41.27,145.48,187.79,43.65,25.84,35.89,41.86,17.76,80.89,315.53,331.88,48.74,144.95,147.38,49.58,15.77,11.24,58.38,10.88,92.37,629.7,731.33,46.27,262.79,280.74,48.35,8.65,5.47,61.28,3.29,98.05,8.61,91.75,1.004
Washington Capitals,82,1182.95,40,31,11,36,91,0.555,1023.07,1201.05,46,712.37,842.66,45.81,487.59,567.34,46.22,41.15,55.44,42.6,44.82,50.53,47,486.96,540.26,47.41,250.16,283.52,46.87,35.48,50.21,41.4,14.18,82.29,196.11,221.01,47.02,127.43,147.61,46.33,24.64,35.89,40.71,19.34,75.68,296.54,312.68,48.67,123.01,135.43,47.6,10.9,14.22,43.39,8.86,89.5,545.95,742.99,42.36,211.36,257.46,45.08,5.52,5.48,50.22,2.61,97.87,8.44,90.23,0.987
