Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Seattle Kraken,82,1443.4667,34,35,13,31,81,0.494,1471.54,1401.62,51.22,1031.84,1030.28,50.04,692.71,696.45,49.87,51.06,50.94,50.06,60.28,56.75,51.51,671.78,596.24,52.98,339.93,319.73,51.53,39.06,42.94,47.63,11.49,86.57,253.57,235.91,51.8,163.7,156.38,51.14,27.06,30.71,46.84,16.53,80.36,417.86,360.14,53.71,176.29,163.25,51.92,12,12.21,49.57,6.81,92.52,857.39,885.63,49.19,319.51,340.63,48.4,12,8,60,3.76,97.65,7.37,92.69,1.001
Montreal Canadiens,82,1535.9333,30,36,16,26,76,0.463,1431.91,1618.67,46.94,1039.38,1128.38,47.95,685.33,757.22,47.51,55.51,47.06,54.12,67.87,69.96,49.24,671.04,749.53,47.24,350.66,367.24,48.85,47.51,42.11,53.01,13.55,88.53,280.85,299.41,48.4,184.78,172.27,51.75,32.35,29.53,52.28,17.51,82.86,390.55,450,46.46,166.23,194.97,46.02,15.16,12.64,54.53,9.12,93.52,796.51,902.67,46.88,302.5,349.11,46.42,8,4.95,61.79,2.64,98.58,8.1,93.79,1.019
St Louis Blues,82,1395.4333,43,33,6,38,92,0.561,1190.94,1528.68,43.79,865.39,1085.99,44.35,618.86,745.23,45.37,53.32,55.17,49.15,51.29,67.07,43.34,554.32,699.63,44.21,315.01,369.53,46.02,46.49,45.28,50.66,14.76,87.75,224.35,290.96,43.54,157.63,186.51,45.8,29.53,27.41,51.86,18.74,85.3,329.31,408,44.66,156.86,182.63,46.2,16.95,17.9,48.64,10.8,90.2,683.46,895.98,43.27,275.17,344.44,44.41,6.84,9.89,40.87,2.49,97.13,8.62,92.6,1.012
Columbus Blue Jackets,82,1397.7333,27,43,12,24,66,0.402,1402.49,1496.22,48.38,988.38,1039.42,48.74,665.48,750.45,47,63.17,62.94,50.09,59.26,64.62,47.83,626.1,689.4,47.59,331.28,353.84,48.35,50.23,49.66,50.28,15.16,85.96,224.93,272.13,45.25,151.16,180.65,45.56,32.58,28.94,52.96,21.56,83.98,401.1,417.8,48.98,180.11,173.54,50.93,17.69,20.74,46.03,9.82,88.05,812.08,877.54,48.06,299.1,362.19,45.23,12.95,13.27,49.38,4.33,96.34,9.49,91.61,1.011
Florida Panthers,82,1408.6833,52,24,6,49,110,0.671,1622.01,1196.32,57.55,1086.5,883.26,55.16,763.31,595.57,56.17,61.17,37.4,62.06,65.25,52.64,55.35,689.25,515.84,57.2,363.01,292.18,55.41,48.23,32.34,59.86,13.28,88.93,285.32,211.02,57.48,186.57,148.46,55.69,24.94,21.18,54.08,13.37,85.74,402.62,305.24,56.88,175.89,144.06,54.97,23.26,11.16,67.58,13.22,92.26,985.86,723.44,57.68,361.45,265.32,57.67,12.95,5.05,71.92,3.58,98.1,8.01,93.72,1.017
Edmonton Oilers,82,1325.1667,49,27,6,47,104,0.634,1429.16,1182.13,54.73,1026.77,856.38,54.52,729.2,604.78,54.66,54.94,59.17,48.15,69.36,53.17,56.61,690.58,561.44,55.16,358.55,308.8,53.73,45.89,53.17,46.32,12.8,82.78,325.61,222.93,59.36,206.41,148.84,58.1,29.88,31.06,49.04,14.48,79.13,364.62,338.34,51.87,152,159.94,48.73,16,22.1,41.99,10.53,86.18,837.6,663.15,55.81,327.29,267.48,55.03,9.05,6,60.14,2.77,97.76,7.53,90.22,0.978
Chicago Blackhawks,82,1255.35,23,53,6,22,52,0.317,1060.27,1431,42.56,749.32,1013.45,42.51,539.03,702.75,43.41,37.66,63.77,37.13,44.83,61.89,42.01,474.13,695.94,40.52,282.22,367.69,43.42,33.77,52.72,39.05,11.97,85.66,204.72,279.33,42.29,148.27,176.95,45.59,24.71,32.71,43.03,16.66,81.52,269.45,416.2,39.3,133.66,190.52,41.23,9.05,20,31.16,6.77,89.5,611.76,818.46,42.77,229.11,305.13,42.89,3.89,11.05,26.04,1.7,96.38,6.99,90.93,0.979
Boston Bruins,82,1532.1333,47,20,15,43,109,0.665,1461,1577.6,48.08,1042.88,1122.93,48.15,717.85,786.93,47.7,59.62,48,55.4,69.81,63.73,52.28,704.42,703.95,50.02,383.69,377.59,50.4,48.45,36.94,56.74,12.63,90.22,306.39,283.65,51.93,208.32,194.51,51.71,33.53,24.82,57.46,16.09,87.24,397.51,420.07,48.62,175.32,182.97,48.93,14.95,12.1,55.26,8.53,93.38,791.52,946.05,45.55,295.68,361.53,44.99,11.16,11.05,50.24,3.77,96.94,8.31,93.9,1.022
Vegas Golden Knights,82,1444.8833,45,29,8,41,98,0.598,1412.9,1544.24,47.78,987.3,1039.94,48.7,703.1,695.16,50.28,55.89,55.66,50.1,60.4,58.52,50.79,658.63,669.61,49.59,357.99,326.47,52.3,51.89,39.66,56.68,14.49,87.85,263.24,250.83,51.21,176.41,155.35,53.17,26.82,22.71,54.16,15.21,85.38,395.24,418.34,48.58,181.6,170.97,51.51,25.05,16.95,59.65,13.8,90.09,822.83,918.21,47.26,304.99,333.81,47.74,4,16,20,1.31,95.21,7.95,91.99,0.999
Pittsburgh Penguins,82,1339.5833,38,32,12,36,88,0.537,1386.22,1332.67,50.98,992.86,955.16,50.97,684.93,631.66,52.02,63.55,53.32,54.37,61.04,58.97,50.86,649.87,623.79,51.02,349.35,318.13,52.34,48.38,47.32,50.55,13.85,85.12,281.65,245.35,53.44,192.81,151.97,55.92,31.53,32.59,49.17,16.35,78.56,367.72,378.48,49.28,156.17,166.23,48.44,16.84,14.74,53.33,10.79,91.13,795.68,774.91,50.66,299.67,277.32,51.94,15.16,6,71.65,5.06,97.84,9.28,91.56,1.008
Vancouver Canucks,82,1243.4,50,23,9,50,109,0.665,1213.09,1143.26,51.48,865.36,821.11,51.31,573.61,540.6,51.48,67.17,36.6,64.73,56.12,48.18,53.81,568.93,494.18,53.52,297.35,249.43,54.38,58.11,28.72,66.93,19.54,88.49,248.04,222.96,52.66,154.92,139.24,52.66,40.82,20.94,66.1,26.35,84.96,320.28,270.97,54.17,142.11,110,56.37,17.26,7.79,68.9,12.15,92.92,695.02,681.1,50.51,250.93,267.59,48.39,9.05,7.89,53.43,3.61,97.05,11.71,93.23,1.049
