Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1007.8,47,30,5,44,99,0.604,970.42,1075.25,47.44,712.44,761.86,48.32,500.17,550.98,47.58,42.5,53.28,44.37,46.71,46.76,49.97,491.37,528.63,48.17,274.95,292.15,48.48,39.07,46.73,45.54,14.21,84.01,208.94,194.21,51.83,138.59,132.08,51.2,27.83,32.83,45.88,20.08,75.14,276.23,340.9,44.76,136.01,160.12,45.93,11.15,13.9,44.52,8.2,91.32,523.4,585.14,47.22,193.29,229.5,45.72,2.76,6.5,29.81,1.43,97.17,8.5,90.33,0.988
Tampa Bay Lightning,82,1325.7833,45,29,8,42,98,0.598,1252.35,1274.99,49.55,858.39,909.07,48.57,573.74,664.79,46.32,52.08,64.6,44.63,52.56,57.98,47.55,610.6,586.81,50.99,306.02,336.07,47.66,45.93,52.93,46.46,15.01,84.25,228.99,229.32,49.96,140.6,159.7,46.82,26.72,24.97,51.69,19.01,84.36,373.29,364.03,50.63,165.09,176.37,48.35,19.29,27.7,41.05,11.68,84.29,715.76,724.09,49.71,240.15,292.82,45.06,6.32,10.74,37.04,2.63,96.33,9.08,90.28,0.994
Chicago Blackhawks,82,1976.25,23,53,6,22,52,0.317,1571.91,2183.2,41.86,1140.65,1566.1,42.14,797.37,1096.91,42.09,55.2,100.84,35.38,67.86,93.37,42.09,726.29,1035.21,41.23,400.3,562.88,41.56,48.8,79.88,37.92,12.19,85.81,270.48,441.47,37.99,172.92,284.93,37.77,31.82,58.45,35.25,18.4,79.49,445.44,604.45,42.43,227.61,278.27,44.99,16.88,21.72,43.74,7.42,92.2,925.21,1256,42.42,355.12,489.92,42.02,6.45,21.48,23.1,1.82,95.62,6.92,90.81,0.977
Pittsburgh Penguins,82,1247.8,38,32,12,36,88,0.537,1353.95,1231.65,52.36,976.7,910.88,51.74,698.37,617.52,53.07,52.69,56.67,48.18,63.54,56.57,52.9,657.23,567.02,53.68,365.73,324.64,52.98,39.49,44.71,46.9,10.8,86.23,282.91,252.16,52.87,188.74,179.02,51.32,26.35,33.67,43.9,13.96,81.19,366.38,320.69,53.33,176.3,145.99,54.7,13.24,11.05,54.51,7.51,92.43,773.38,702.67,52.39,297.06,265.92,52.77,12.81,10.93,53.97,4.31,95.89,7.55,90.82,0.984
Seattle Kraken,82,1321.2333,34,35,13,31,81,0.494,1265.71,1271.35,49.89,841.76,932.88,47.43,572.88,648.35,46.91,38.18,49.67,43.46,48.42,56.44,46.18,576.68,598.01,49.09,276.02,323.31,46.05,29.12,42.03,40.93,10.55,87,193.93,247.41,43.94,115.47,150.76,43.37,15.93,27.88,36.37,13.8,81.51,374.75,356.65,51.24,161.02,172.23,48.32,13.28,14.03,48.62,8.25,91.85,745.95,751.48,49.82,265.05,292.36,47.55,8.97,7.59,54.18,3.38,97.4,6.66,92.34,0.99
Ottawa Senators,82,1610.1667,37,41,4,32,78,0.476,1559,1633.23,48.84,1112.57,1096.11,50.37,763.75,771.83,49.74,62.4,77.79,44.51,63.38,69.69,47.63,706.25,739.64,48.85,379.95,381.35,49.91,51.46,65.6,43.96,13.54,82.8,255.16,303.97,45.64,176.12,199.92,46.84,32.31,40.71,44.25,18.35,79.64,441.07,443.78,49.85,203.81,182.15,52.81,19.33,24.85,43.75,9.48,86.36,915.64,953.71,48.98,334.1,347.57,49.01,10.88,12.13,47.28,3.26,96.51,8.17,89.92,0.981
Carolina Hurricanes,82,1030.3333,52,23,7,50,111,0.677,1207.67,776.31,60.87,860.86,569.23,60.2,543.7,411.8,56.9,43.17,40.85,51.38,51.37,33.43,60.58,514.2,358.34,58.93,262.67,216.33,54.84,37.71,36.32,50.94,14.36,83.21,216.51,143.19,60.19,136.13,106.57,56.09,29.31,20.29,59.09,21.53,80.96,291.82,218.37,57.2,126.17,109.59,53.52,8.25,15.79,34.3,6.54,85.59,771.68,445.31,63.41,261.78,160.62,61.98,5.52,4.35,55.93,2.11,97.29,7.94,90.08,0.98
Montreal Canadiens,82,1239.9333,30,36,16,26,76,0.463,1109.2,1395.87,44.28,795.95,987.85,44.62,557.76,699.23,44.37,58.32,64.49,47.49,51.21,62.11,45.19,497.77,660.94,42.96,285.67,369.38,43.61,50.21,57.47,46.63,17.58,84.44,221.87,266.12,45.47,146.31,173.93,45.69,25.23,27.53,47.82,17.25,84.17,269.3,402.01,40.12,138.68,195.5,41.5,25.22,29.67,45.95,18.19,84.82,655.17,762.96,46.2,245.84,299.61,45.07,7.23,6.63,52.15,2.94,97.79,10.46,90.78,1.012
Toronto Maple Leafs,82,1154.4667,46,26,10,41,102,0.622,1159.17,1128.04,50.68,819.94,810.75,50.28,580.67,549.24,51.39,53.89,42.05,56.17,52.94,48.66,52.1,565.58,527.96,51.72,318.39,283.6,52.89,43.7,32.76,57.15,13.72,88.45,244.43,223.68,52.22,157.73,136,53.7,23.6,21.05,52.85,14.96,84.52,314.09,309.81,50.34,160.03,147.75,52,20.21,11.77,63.19,12.63,92.03,695.5,604.93,53.48,234.05,238.85,49.49,10,9.62,50.95,4.27,95.97,9.28,92.34,1.016
Boston Bruins,82,838.2833,47,20,15,43,109,0.665,729.63,792.78,47.93,535,573.65,48.26,374.03,375.16,49.92,43.67,30.03,59.25,33.79,34.5,49.48,363.38,352.59,50.75,196.51,193.55,50.38,33.31,25.65,56.5,16.95,86.75,161.01,156.53,50.71,113.95,103.53,52.4,25.09,19.51,56.25,22.02,81.15,197.91,199.38,49.82,81.91,90.27,47.57,8.05,6.14,56.73,9.82,93.2,407.71,459.77,47,157.2,165.47,48.72,10.05,4.35,69.79,6.39,97.37,11.68,91.99,1.037
