Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Chicago Blackhawks,82,468.7833,23,53,6,22,52,0.317,371.83,531.62,41.16,251.05,374.35,40.14,176.29,257.57,40.63,15.18,26.17,36.71,14.27,24.33,36.97,156.72,263.67,37.28,84.84,135.12,38.57,12.07,20.68,36.86,14.23,84.69,61.32,110.93,35.6,41.43,70.74,36.94,7.21,12.76,36.08,17.39,81.96,97.02,150.11,39.26,43.44,64.25,40.34,4.81,7.98,37.6,11.07,87.58,216.68,303.63,41.64,80.54,111.12,42.02,3.19,5.43,36.96,3.96,95.11,8.61,89.84,0.985
Anaheim Ducks,82,421.4833,27,50,5,26,59,0.36,396.13,429.12,48,279.88,313.03,47.2,189.41,220.01,46.26,15.44,19.53,44.16,17.08,18.78,47.63,177.31,192.73,47.92,101.41,102.65,49.7,11.29,18.73,37.61,11.13,81.76,83.3,91.47,47.66,60.64,60.04,50.25,7.3,11.85,38.12,12.03,80.27,95.81,99.43,49.07,41.15,42.41,49.24,3.96,6.92,36.41,9.63,83.69,238.34,262.09,47.63,75.25,101.4,42.6,4.3,0.94,82.08,5.71,99.07,8.15,91.12,0.993
Vancouver Canucks,82,876.6667,50,23,9,50,109,0.665,882.24,718.99,55.1,624.88,512.24,54.95,406.42,345.3,54.07,49.73,25.82,65.83,39.14,32.28,54.8,445.03,323.21,57.93,226.36,159.97,58.59,41.16,21.33,65.86,18.18,86.67,184.15,133.61,57.95,116.96,84.24,58.13,30.46,12.39,71.08,26.04,85.29,265.41,185.78,58.82,109.79,75.25,59.33,10.75,9.04,54.33,9.79,87.99,503.4,445.83,53.03,163.47,169.85,49.04,8.64,4.5,65.78,5.29,97.35,12.24,92.52,1.048
Seattle Kraken,82,714.7333,34,35,13,31,81,0.494,742.76,691.4,51.79,518.68,490.69,51.39,361.63,317.23,53.27,34.29,24.23,58.59,33.54,25.77,56.55,347.39,274.79,55.83,192.57,121.65,61.29,28.89,20.68,58.28,15,83,155.91,102.99,60.22,98.87,52.48,65.33,19.82,12.76,60.83,20.05,75.68,194.85,168.53,53.62,93.91,69.3,57.54,9.06,7.98,53.18,9.65,88.49,415.95,472.56,46.81,146.22,173.64,45.71,5.41,3.61,59.99,3.7,97.92,9.48,92.36,1.018
St Louis Blues,82,609.8,43,33,6,38,92,0.561,587.02,640.35,47.83,425.34,469.06,47.56,306.24,321.48,48.79,27.92,28.19,49.76,24.76,31.39,44.09,265.61,325.68,44.92,138.69,176.62,43.98,21.51,25.53,45.72,15.51,85.55,106.39,150.93,41.35,74.65,100.73,42.57,15.59,17.35,47.32,20.88,82.77,161.81,171.44,48.56,64.31,75.21,46.09,5.94,8.17,42.11,9.24,89.13,348.51,357.3,49.38,148.81,130.82,53.22,6.52,2.77,70.21,4.38,97.89,9.12,91.23,1.003
Pittsburgh Penguins,82,731.75,38,32,12,36,88,0.537,760.87,768.8,49.74,525.96,580.38,47.54,361.73,384.74,48.46,36.9,35.01,51.32,29.91,35.02,46.07,334.53,379.8,46.83,173.9,204.48,45.96,25.4,29.53,46.24,14.61,85.56,127.74,144.39,46.94,80.64,91.86,46.75,12.52,25.16,33.24,15.53,72.61,210.33,231.12,47.65,93.34,112.69,45.31,12.63,4.13,75.34,13.54,96.33,460.88,434.62,51.47,162.86,164.3,49.78,11.88,5.48,68.42,7.29,96.66,10.2,90.9,1.011
Washington Capitals,82,745.85,40,31,11,36,91,0.555,650.05,774.69,45.63,450.29,545.5,45.22,309,361.35,46.1,21.72,34.08,38.93,29.06,32.34,47.33,312.43,358.08,46.6,161.81,183.98,46.79,19.37,29.63,39.53,11.97,83.9,128.89,139.66,48,78.79,88.78,47.02,14.41,20.38,41.42,18.29,77.04,186.51,214.36,46.53,83.07,95.08,46.63,5,9.23,35.14,6.02,90.29,347.92,474.06,42.33,134.79,162.18,45.39,2.22,4.54,32.84,1.65,97.2,7.03,90.57,0.976
Toronto Maple Leafs,82,727.7167,46,26,10,41,102,0.622,785.81,704.15,52.74,557.94,478.07,53.85,382.67,308.93,55.33,46.68,32.9,58.66,35.56,31.32,53.17,371.5,323.01,53.49,214.15,166.71,56.23,40.97,26.46,60.76,19.13,84.13,160.77,133.73,54.59,109.07,92.43,54.13,29.01,17.45,62.44,26.6,81.13,214.31,185.5,53.6,105.25,73.72,58.81,11.98,9.04,57.01,11.39,87.74,441.83,409.04,51.93,144.07,130.01,52.56,5.5,6.37,46.35,3.82,95.1,12.2,89.35,1.015
Ottawa Senators,82,532.1333,37,41,4,32,78,0.476,581.55,540.56,51.83,410.08,393.98,51,271.86,288.02,48.56,30.53,28.94,51.34,24.01,26.56,47.48,257.38,266.14,49.16,148.24,146.05,50.37,27.16,24.41,52.67,18.32,83.29,98.97,118.68,45.47,68.77,78.87,46.58,15.31,16.44,48.23,22.26,79.16,160.71,144.66,52.63,79.31,66.82,54.27,11.69,7.98,59.44,14.74,88.06,339.82,300.64,53.06,109.81,125.45,46.68,3.23,4.54,41.58,2.95,96.38,11.23,89.95,1.012
Minnesota Wild,82,731.4667,39,33,10,36,88,0.537,730.21,718.94,50.39,524.67,487.27,51.85,363.68,339.98,51.68,23.79,32.41,42.33,27.75,25.99,51.64,324.78,309.44,51.21,165.96,164.71,50.19,21.41,24.14,47.01,12.9,85.35,115.81,114.5,50.28,78.31,73.08,51.73,11.35,16.8,40.31,14.49,77.01,212.4,191.34,52.61,87.66,91.67,48.88,9.91,7.31,57.54,11.3,92.03,450.06,453.43,49.81,183.32,157.91,53.72,2.22,8.15,21.42,1.21,94.84,6.54,90.47,0.97
