Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,2679.95,47,30,5,44,99,0.604,2825.57,2582.67,52.25,2007.84,1830.02,52.32,1371.41,1309.03,51.16,118.49,98.39,54.63,126.98,108.81,53.85,1343.68,1192.91,52.97,718.12,636.3,53.02,98.83,80.57,55.09,13.76,87.34,553.05,442.65,55.54,366.85,296.12,55.33,65.43,48.52,57.42,17.84,83.61,793.35,748.63,51.45,351.13,339.72,50.83,33.31,32.36,50.72,9.49,90.48,1649.77,1507.97,52.25,602.94,604.94,49.92,19.83,16.61,54.42,3.29,97.25,8.64,92.48,1.011
Tampa Bay Lightning,82,2633.6667,45,29,8,42,98,0.598,2557.13,2506.97,50.5,1774.49,1772.19,50.03,1212.5,1274.81,48.75,118.95,141.29,45.71,107.19,114.91,48.26,1194.59,1175.66,50.4,622.54,656.45,48.67,103.15,117.34,46.78,16.57,82.13,484.33,486.02,49.91,318.7,330.65,49.08,67.94,68.98,49.62,21.32,79.14,709.11,689.97,50.68,303.98,325.68,48.28,35.4,48.03,42.43,11.65,85.25,1459.83,1393.45,51.16,541.52,547.76,49.71,15.73,22.91,40.71,2.9,95.82,9.81,88.92,0.987
Chicago Blackhawks,82,2551.5167,23,53,6,22,52,0.317,2119.75,2920.07,42.06,1497.93,2066.81,42.02,1057.24,1429.17,42.52,77.65,140.22,35.64,88.12,127.38,40.89,939.95,1395.3,40.25,530.2,739.14,41.77,67.92,110.38,38.09,12.81,85.07,365.66,581.7,38.6,254.91,371.36,40.7,43.3,75.84,36.34,16.99,79.58,571.98,814.49,41.25,275.3,367.63,42.82,24.72,34.77,41.55,8.98,90.54,1236.99,1692.03,42.23,472.56,630.82,42.83,9.84,30.34,24.5,2.08,95.19,7.34,90.19,0.975
Pittsburgh Penguins,82,2794.3,38,32,12,36,88,0.537,2940.19,2831.84,50.94,2083.62,2063.76,50.24,1437.89,1373.13,51.15,124.86,114.18,52.23,126.7,126.96,49.95,1362.51,1322.14,50.75,731.52,703,50.99,92.6,96.22,49.04,12.66,86.31,571.19,535.18,51.63,377.21,349.8,51.89,54.71,74.14,42.46,14.5,78.81,790.62,785.57,50.16,353.85,353.79,50,37.75,21.99,63.19,10.67,93.78,1725.41,1642.72,51.23,625.98,603.6,50.91,32.52,16.94,65.75,5.2,97.19,8.68,91.68,1.004
Seattle Kraken,82,2964.0167,34,35,13,31,81,0.494,3005.23,2905.59,50.84,2065.85,2107.96,49.5,1411.87,1407.89,50.07,107.73,106.24,50.35,123.33,119.6,50.77,1381.12,1260.51,52.28,708.05,642.11,52.44,83.88,88.34,48.71,11.85,86.24,526.5,498.48,51.37,331.59,306.58,51.96,55.69,61.13,47.67,16.8,80.06,853.2,762.41,52.81,377.2,335.69,52.91,28.27,27.27,50.91,7.5,91.88,1751.34,1831.57,48.88,630.61,691.28,47.71,23.73,18.07,56.76,3.76,97.39,7.63,92.45,1.001
Vegas Golden Knights,82,2715.7167,45,29,8,41,98,0.598,2630.84,2890.1,47.65,1856.12,1938.21,48.92,1331.88,1324.67,50.14,124.06,114.21,52.07,116.16,110.15,51.33,1250.1,1250.42,49.99,701.09,615.53,53.25,114.25,87.26,56.7,16.3,85.82,507.84,472.73,51.79,354.93,285.19,55.45,66.12,49.73,57.08,18.63,82.56,741.86,777.11,48.84,345.98,329.93,51.19,48.19,37.46,56.26,13.93,88.65,1530.51,1705.96,47.29,562.15,643.56,46.62,9.85,26.67,26.98,1.75,95.86,9.31,91.38,1.007
Ottawa Senators,82,2502.55,37,41,4,32,78,0.476,2528.78,2544.31,49.85,1785.99,1752.43,50.47,1214.18,1232.06,49.63,106.76,127.67,45.54,106.01,109.49,49.19,1125.35,1202.7,48.34,611.04,623.73,49.49,91.63,110.96,45.23,15,82.21,446.66,477.37,48.34,299.55,322.65,48.14,61.65,68.9,47.22,20.58,78.65,677.08,726.44,48.24,311.42,300.88,50.86,29.86,41.94,41.58,9.59,86.06,1455.31,1431.93,50.4,525.37,542.06,49.22,14.93,16.39,47.68,2.84,96.98,8.79,89.64,0.984
Carolina Hurricanes,82,2792.4,52,23,7,50,111,0.677,3397.88,2178.37,60.93,2394.94,1617.19,59.69,1548.27,1128,57.85,116.79,100.49,53.75,139.49,98.32,58.65,1457.97,990.89,59.54,705.61,577.3,55,103.02,89.47,53.52,14.6,84.5,569.46,415.63,57.81,356.64,293.99,54.81,70.35,47.79,59.55,19.73,83.75,888.77,574.66,60.73,349.11,282.92,55.24,32.71,41.57,44.04,9.37,85.31,2082.64,1266.83,62.18,785.29,470.14,62.55,13.85,11.12,55.47,1.76,97.63,7.54,91.09,0.986
Montreal Canadiens,82,2833.45,30,36,16,26,76,0.463,2605.21,3022.15,46.3,1862.77,2097.62,47.04,1270.9,1419.48,47.24,109.73,107.63,50.48,122.33,130.2,48.44,1201.15,1418.94,45.84,643.2,703.71,47.75,93.6,93.62,49.99,14.55,86.7,523.49,552.78,48.64,345.28,327.49,51.32,64.22,60.03,51.68,18.6,81.67,678.3,865.56,43.94,298.26,376.02,44.23,29.45,33.41,46.85,9.87,91.12,1480.81,1650.33,47.29,561.41,644.4,46.56,14,13.54,50.84,2.49,97.9,8.63,92.42,1.011
Toronto Maple Leafs,82,2760.45,46,26,10,41,102,0.622,2833.33,2672.38,51.46,2005.62,1882.61,51.58,1386.75,1254.07,52.51,133.32,114.29,53.84,125.04,118.63,51.31,1354.58,1218.87,52.64,723.01,648.32,52.72,112.86,95.88,54.07,15.61,85.21,560.61,512.78,52.23,371.07,342.37,52.01,75.88,65.4,53.71,20.45,80.9,793.4,704.87,52.95,351.72,305.24,53.54,37.14,30.45,54.94,10.56,90.02,1648.55,1530.93,51.85,586.66,550.22,51.6,20.21,18.52,52.18,3.44,96.63,9.61,90.89,1.005
Boston Bruins,82,2836.45,47,20,15,43,109,0.665,2660.47,2900.18,47.84,1920.21,2073.26,48.08,1345.75,1393.13,49.14,130.98,90.79,59.06,127.39,119.92,51.51,1279.4,1324.48,49.13,724.78,692.31,51.15,111.44,75.74,59.54,15.38,89.06,568.63,533.75,51.58,403.21,351.39,53.43,77.61,46.66,62.45,19.25,86.72,711.04,788.29,47.42,321.23,340.84,48.52,33.72,29.2,53.59,10.5,91.43,1458.67,1704.21,46.12,546.64,625.02,46.66,18.96,15.23,55.46,3.47,97.56,9.73,93.48,1.032
Winnipeg Jets,82,2925.2333,52,24,6,52,110,0.671,3012.28,2703.91,52.7,2177.12,1959.42,52.63,1509.85,1361.07,52.59,132.43,82.57,61.6,129.34,114.32,53.08,1337.78,1181.77,53.1,713.03,641.13,52.65,116.5,73.73,61.24,16.34,88.5,565.01,510.09,52.55,391.94,331.76,54.16,71.51,42.82,62.55,18.25,87.09,773.3,670.5,53.56,321.24,309.28,50.95,45.05,30.86,59.35,14.02,90.02,1813.85,1612.87,52.93,727.41,650.21,52.8,16.25,9.07,64.18,2.23,98.61,8.77,93.93,1.027
Calgary Flames,82,2811.0833,38,39,5,38,81,0.494,2904.18,2822.28,50.72,2043.39,1974.58,50.86,1408.26,1370.69,50.68,111.02,133.47,45.41,119.54,124.36,49.01,1267.68,1320.81,48.97,655.12,705.98,48.13,86.65,106.09,44.96,13.23,84.97,511.63,541.79,48.57,327.93,378.51,46.42,57.38,62.17,48,17.5,83.58,754.62,781.39,49.13,327.02,328.19,49.91,29.19,43.85,39.96,8.93,86.64,1777.89,1625.83,52.23,676.4,593.98,53.24,24.34,27.27,47.16,3.6,95.41,7.88,90.26,0.981
Colorado Avalanche,82,2593.15,50,25,7,48,107,0.652,2875.41,2474.31,53.75,2005.99,1780.8,52.97,1410.39,1234.46,53.33,128.49,117.42,52.25,119.78,103.29,53.7,1343.26,1070.77,55.64,713.46,605.41,54.1,110.64,95.33,53.72,15.51,84.25,565.19,463.71,54.93,356.19,328.47,52.02,61.21,67.45,47.58,17.18,79.47,778.14,607.14,56.17,357.12,277.58,56.27,49.07,27.88,63.77,13.74,89.95,1683.76,1523.5,52.5,638.53,564.47,53.08,17.61,21.93,44.53,2.76,96.11,9.11,90.49,0.996
