Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,592.9833,47,30,5,44,99,0.604,658,526,55.57,469,383,55.05,330,282,53.92,36,43,45.57,34.8,32.17,51.97,349,263,57.03,191,150,56.01,31,35,46.97,16.23,76.67,162,92,63.78,112,68,62.22,20,23,46.51,17.86,66.18,187,171,52.23,79,82,49.07,11,12,47.83,13.92,85.37,371,300,55.29,129,116,52.65,5,4,55.56,3.88,96.55,10.91,84.75,0.957
Tampa Bay Lightning,82,880.65,45,29,8,42,98,0.598,964,822,53.98,665,605,52.36,452,444,50.45,52,52,50,46.4,47.5,49.41,484,418,53.66,249,244,50.51,44,39,53.01,17.67,84.02,185,173,51.68,114,116,49.57,23,18,56.1,20.18,84.48,299,245,54.96,135,128,51.33,21,21,50,15.56,83.59,548,457,54.53,186,179,50.96,8,10,44.44,4.3,94.41,11.5,88.29,0.998
Chicago Blackhawks,82,1002.75,23,53,6,22,52,0.317,938,1038,47.47,667,760,46.74,459,527,46.55,33,67,33,44.38,59.14,42.87,432,493,46.7,226,276,45.02,30,51,37.04,13.27,81.52,157,224,41.21,104,149,41.11,18,40,31.03,17.31,73.15,275,269,50.55,122,127,49,12,11,52.17,9.84,91.34,564,610,48.04,213,227,48.41,3,13,18.75,1.41,94.27,7.19,87.29,0.945
Pittsburgh Penguins,82,937.65,38,32,12,36,88,0.537,1147,874,56.75,805,654,55.17,568,438,56.46,43,39,52.44,57.66,50.85,53.13,556,401,58.1,307,224,57.82,34,30,53.13,11.07,86.61,245,174,58.47,162,125,56.45,21,26,44.68,12.96,79.2,311,227,57.81,145,99,59.43,13,4,76.47,8.97,95.96,696,517,57.38,232,192,54.72,9,7,56.25,3.88,96.35,7.57,91.1,0.987
Seattle Kraken,82,1027.2333,34,35,13,31,81,0.494,1132,945,54.5,750,689,52.12,518,461,52.91,42,42,50,47.87,50.46,48.68,523,449,53.81,256,229,52.78,30,29,50.85,11.72,87.34,180,182,49.72,108,109,49.77,17,21,44.74,15.74,80.73,343,267,56.23,148,120,55.22,13,8,61.9,8.78,93.33,725,569,56.03,237,205,53.62,12,8,60,5.06,96.1,8.11,90.89,0.99
Carolina Hurricanes,82,829.5333,52,23,7,50,111,0.677,1086,558,66.06,760,417,64.57,496,283,63.67,44,33,57.14,49.2,32.5,60.22,472,262,64.31,253,155,62.01,40,26,60.61,15.81,83.23,198,104,65.56,132,75,63.77,28,15,65.12,21.21,80,274,158,63.43,121,80,60.2,12,11,52.17,9.92,86.25,736,316,69.96,230,94,70.99,4,4,50,1.74,95.74,8.87,88.34,0.972
Ottawa Senators,82,1007.2333,37,41,4,32,78,0.476,1102,971,53.16,772,660,53.91,529,464,53.27,42,61,40.78,49.67,49.97,49.85,514,468,52.34,269,240,52.85,34,51,40,12.64,78.75,182,187,49.32,119,125,48.77,18,34,34.62,15.13,72.8,332,281,54.16,150,115,56.6,16,17,48.48,10.67,85.22,657,558,54.07,226,199,53.18,8,8,50,3.54,95.98,7.94,86.85,0.948
Montreal Canadiens,82,801.4833,30,36,16,26,76,0.463,810,824,49.57,580,580,50,402,406,49.75,39,50,43.82,41.98,39.92,51.26,360,411,46.69,197,214,47.93,33,44,42.86,16.75,79.44,160,168,48.78,102,106,49.04,21,26,44.68,20.59,75.47,200,243,45.15,95,108,46.8,12,18,40,12.63,83.33,517,431,54.54,183,167,52.29,5,5,50,2.73,97.01,9.7,87.68,0.974
Toronto Maple Leafs,82,833.8667,46,26,10,41,102,0.622,932,748,55.48,643,545,54.12,460,375,55.09,47,44,51.65,47.46,42.03,53.03,478,359,57.11,271,195,58.15,40,33,54.79,14.76,83.08,202,145,58.21,142,94,60.17,21,18,53.85,14.79,80.85,276,214,56.33,129,101,56.09,19,15,55.88,14.73,85.15,564,420,57.32,172,159,51.96,7,9,43.75,4.07,94.34,10.22,88.27,0.985
Boston Bruins,82,655.25,47,20,15,43,109,0.665,644,609,51.4,465,460,50.27,339,304,52.72,43,30,58.9,33.26,36.03,48,318,298,51.62,185,168,52.41,34,24,58.62,18.38,85.71,153,127,54.64,114,91,55.61,26,16,61.9,22.81,82.42,165,171,49.11,71,77,47.97,8,8,50,11.27,89.61,377,347,52.07,138,122,53.08,9,4,69.23,6.52,96.72,12.68,90.13,1.028
