Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Tampa Bay Lightning,82,1812.6667,45,29,8,42,98,0.598,1629,1968,45.29,1190,1365,46.58,811,957,45.87,118,86,57.84,98.77,92.75,51.57,828,902,47.86,440,493,47.16,84,69,54.9,19.09,86,339,378,47.28,231,257,47.34,52,43,54.74,22.51,83.27,489,524,48.27,209,236,46.97,32,26,55.17,15.31,88.98,881,1220,41.93,327,425,43.48,30,17,63.83,9.17,96,14.55,91.01,1.056
Nashville Predators,82,1907.45,47,30,5,44,99,0.604,1779,2005,47.01,1342,1419,48.61,948,1008,48.47,109,94,53.69,106.22,98.01,52.01,873,921,48.66,502,502,50,80,73,52.29,15.94,85.46,367,393,48.29,251,266,48.55,55,41,57.29,21.91,84.59,506,528,48.94,251,236,51.54,25,32,43.86,9.96,86.44,1062,1260,45.74,395,449,46.8,18,20,47.37,4.56,95.55,11.5,90.67,1.022
Chicago Blackhawks,82,962.1,23,53,6,22,52,0.317,648,1234,34.43,456,870,34.39,325,610,34.76,39,57,40.63,33.89,59.96,36.11,305,606,33.48,174,322,35.08,31,43,41.89,17.82,86.65,117,261,30.95,79,174,31.23,19,28,40.43,24.05,83.91,188,345,35.27,95,148,39.09,12,15,44.44,12.63,89.86,373,737,33.6,136,268,33.66,6,14,30,4.41,94.78,12,90.66,1.027
Pittsburgh Penguins,82,1700.2667,38,32,12,36,88,0.537,1616,1925,45.64,1193,1384,46.29,820,927,46.94,92,84,52.27,96.73,87.58,52.48,758,903,45.64,409,471,46.48,62,66,48.44,15.16,85.99,315,323,49.37,205,216,48.69,39,51,43.33,19.02,76.39,443,580,43.3,204,255,44.44,23,15,60.53,11.27,94.12,970,1155,45.65,355,412,46.28,22,18,55,6.2,95.63,11.22,90.94,1.022
Vegas Golden Knights,82,1735.6833,45,29,8,41,98,0.598,1637,1938,45.79,1203,1327,47.55,880,905,49.3,103,83,55.38,90.28,85.23,51.44,807,899,47.3,463,443,51.1,78,66,54.17,16.85,85.1,343,352,49.35,233,211,52.48,48,40,54.55,20.6,81.04,464,547,45.9,230,232,49.78,30,26,53.57,13.04,88.79,942,1112,45.86,351,415,45.82,15,17,46.88,4.27,95.9,11.7,90.83,1.025
Ottawa Senators,82,1459.6167,37,41,4,32,78,0.476,1364,1590,46.17,1010,1138,47.02,697,818,46.01,80,78,50.63,78.18,80.7,49.21,627,785,44.41,374,425,46.81,62,62,50,16.58,85.41,266,316,45.7,182,215,45.84,36,39,48,19.78,81.86,361,469,43.49,192,210,47.76,26,23,53.06,13.54,89.05,823,903,47.68,272,352,43.59,12,16,42.86,4.41,95.45,11.48,90.46,1.019
Carolina Hurricanes,82,1828.6333,52,23,7,50,111,0.677,1909,1631,53.93,1421,1197,54.28,946,849,52.7,115,82,58.38,102.08,83.98,54.87,849,774,52.31,444,446,49.89,83,72,53.55,18.69,83.86,344,342,50.15,215,235,47.78,51,45,53.13,23.72,80.85,505,432,53.9,229,211,52.05,32,27,54.24,13.97,87.2,1168,991,54.1,447,352,55.94,25,9,73.53,5.59,97.44,12.16,90.34,1.025
Toronto Maple Leafs,82,1885.5667,46,26,10,41,102,0.622,1776,2098,45.84,1315,1450,47.56,918,959,48.91,125,108,53.65,104.09,99.76,51.06,888,995,47.16,518,510,50.39,105,87,54.69,20.27,82.94,401,392,50.57,270,274,49.63,67,52,56.3,24.81,81.02,487,603,44.68,248,236,51.24,38,35,52.05,15.32,85.17,1002,1233,44.83,345,414,45.45,12,21,36.36,3.48,94.93,13.62,88.74,1.024
Montreal Canadiens,82,1444.1667,30,36,16,26,76,0.463,1145,1806,38.8,817,1252,39.49,586,865,40.39,68,91,42.77,61.57,94.28,39.51,554,874,38.8,298,454,39.63,55,70,44,18.46,84.58,227,371,37.96,160,239,40.1,39,44,46.99,24.38,81.59,327,503,39.4,138,215,39.09,16,26,38.1,11.59,87.91,658,1049,38.55,248,381,39.43,9,21,30,3.63,94.49,11.6,89.48,1.011
Boston Bruins,82,1963.8,47,20,15,43,109,0.665,1645,2184,42.96,1222,1553,44.04,868,1030,45.73,107,95,52.97,96.95,102.3,48.66,850,1025,45.33,502,513,49.46,95,85,52.78,18.92,83.43,369,418,46.89,261,267,49.43,61,53,53.51,23.37,80.15,481,607,44.21,241,246,49.49,34,32,51.52,14.11,86.99,889,1322,40.21,311,470,39.82,7,10,41.18,2.25,97.87,12.33,90.78,1.031
