Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1731.2167,47,30,5,44,99,0.604,1902,1624,53.94,1348,1177,53.39,926,867,51.65,87,71,55.06,92.89,77.16,54.62,928,783,54.24,489,430,53.21,70,52,57.38,14.31,87.91,376,309,54.89,251,209,54.57,49,35,58.33,19.52,83.25,552,474,53.8,238,221,51.85,21,17,55.26,8.82,92.31,1130,955,54.2,405,395,50.63,17,19,47.22,4.2,95.19,9.4,91.81,1.012
Tampa Bay Lightning,82,1473.15,45,29,8,42,98,0.598,1440,1358,51.47,1027,972,51.38,711,708,50.11,80,88,47.62,64.9,67.32,49.08,666,675,49.66,361,380,48.72,68,72,48.57,18.84,81.05,268,278,49.08,180,196,47.87,44,45,49.44,24.44,77.04,398,397,50.06,181,184,49.59,24,27,47.06,13.26,85.33,853,721,54.19,318,285,52.74,12,16,42.86,3.77,94.39,11.25,87.57,0.988
Chicago Blackhawks,82,1555.9,23,53,6,22,52,0.317,1363,1684,44.73,969,1195,44.78,699,847,45.21,61,91,40.13,66.04,78.61,45.66,656,829,44.18,382,451,45.86,53,75,41.41,13.87,83.37,275,340,44.72,199,222,47.27,36,46,43.9,18.09,79.28,381,489,43.79,183,229,44.42,17,29,36.96,9.29,87.34,792,1001,44.17,282,361,43.86,8,16,33.33,2.84,95.57,8.73,89.26,0.98
Pittsburgh Penguins,82,1656.8333,38,32,12,36,88,0.537,1760,1631,51.9,1249,1183,51.36,860,796,51.93,84,83,50.3,87.52,78.38,52.76,858,789,52.09,455,422,51.88,64,73,46.72,14.07,82.7,368,314,53.96,254,199,56.07,43,47,47.78,16.93,76.38,490,475,50.78,201,223,47.41,21,26,44.68,10.45,88.34,1033,945,52.22,359,327,52.33,20,10,66.67,5.57,96.94,9.77,89.57,0.993
Seattle Kraken,82,1778.8167,34,35,13,31,81,0.494,1764,1755,50.13,1245,1303,48.86,829,883,48.42,70,86,44.87,78.7,81.39,49.16,819,773,51.44,424,425,49.94,56,72,43.75,13.21,83.06,312,310,50.16,198,204,49.25,34,51,40,17.17,75,507,463,52.27,226,221,50.56,22,21,51.16,9.73,90.5,1022,1130,47.49,365,416,46.73,14,14,50,3.84,96.63,8.44,90.26,0.987
Vegas Golden Knights,82,1804.2833,45,29,8,41,98,0.598,1779,1889,48.5,1264,1308,49.14,912,886,50.72,82,80,50.62,84.92,82.59,50.69,854,859,49.85,479,433,52.52,71,60,54.2,14.82,86.14,345,333,50.88,236,210,52.91,41,36,53.25,17.37,82.86,509,526,49.18,243,223,52.15,30,24,55.56,12.35,89.24,1069,1134,48.52,387,411,48.5,10,20,33.33,2.58,95.13,8.99,90.97,1
Ottawa Senators,82,1472.8667,37,41,4,32,78,0.476,1506,1443,51.07,1103,1007,52.27,773,705,52.3,75,87,46.3,78.32,65.46,54.47,723,692,51.1,416,364,53.33,61,67,47.66,14.66,81.59,316,261,54.77,219,178,55.16,43,37,53.75,19.63,79.21,407,431,48.57,197,186,51.44,18,30,37.5,9.14,83.87,857,826,50.92,316,301,51.22,14,20,41.18,4.43,93.36,9.7,87.66,0.974
Carolina Hurricanes,82,1830.25,52,23,7,50,111,0.677,2176,1483,59.47,1531,1114,57.88,1007,783,56.26,89,69,56.33,100.16,77.09,56.51,993,705,58.48,488,414,54.1,72,62,53.73,14.75,85.02,395,312,55.87,240,225,51.61,39,34,53.42,16.25,84.89,598,393,60.34,248,189,56.75,33,28,54.1,13.31,85.19,1314,860,60.44,480,317,60.23,17,7,70.83,3.54,97.79,8.84,91.19,1
Montreal Canadiens,82,1929.85,30,36,16,26,76,0.463,1743,2120,45.12,1291,1515,46.01,868,1037,45.56,75,83,47.47,89.65,107.48,45.48,860,1071,44.54,474,562,45.75,63,71,47.01,13.29,87.37,350,448,43.86,234,271,46.34,42,50,45.65,17.95,81.55,510,623,45.01,240,291,45.2,21,21,50,8.75,92.78,968,1152,45.66,354,423,45.56,12,12,50,3.39,97.16,8.64,92,1.006
Toronto Maple Leafs,82,1667.2667,46,26,10,41,102,0.622,1767,1666,51.47,1292,1214,51.56,901,832,51.99,89,81,52.35,88.37,82.22,51.8,892,782,53.29,470,441,51.59,73,68,51.77,15.53,84.58,382,327,53.88,253,224,53.04,47,49,48.96,18.58,78.13,510,455,52.85,217,217,50,26,19,57.78,11.98,91.24,1013,970,51.08,381,353,51.91,16,13,55.17,4.2,96.32,9.88,90.26,1.001
Boston Bruins,82,1982.25,47,20,15,43,109,0.665,1888,1996,48.61,1384,1438,49.04,970,1007,49.06,91,75,54.82,99.27,94.49,51.23,959,958,50.03,544,515,51.37,70,61,53.44,12.87,88.16,424,395,51.77,295,271,52.12,48,39,55.17,16.27,85.61,535,563,48.72,249,244,50.51,22,22,50,8.84,90.98,1046,1190,46.78,374,437,46.12,21,14,60,5.61,96.8,9.38,92.55,1.019
Winnipeg Jets,82,1965.1833,52,24,6,52,110,0.671,2028,1804,52.92,1478,1312,52.97,1010,915,52.47,83,69,54.61,93.54,82.27,53.21,924,808,53.35,497,443,52.87,74,61,54.81,14.89,86.23,358,342,51.14,244,221,52.47,46,31,59.74,18.85,85.97,566,466,54.84,253,222,53.26,28,30,48.28,11.07,86.49,1228,1082,53.16,472,422,52.8,9,8,52.94,1.91,98.1,8.22,92.46,1.007
Calgary Flames,82,1601.45,38,39,5,38,81,0.494,1705,1611,51.42,1207,1118,51.91,830,778,51.62,80,90,47.06,74.66,78.81,48.65,771,820,48.46,398,416,48.89,63,68,48.09,15.83,83.65,304,331,47.87,188,220,46.08,39,42,48.15,20.74,80.91,467,489,48.85,210,196,51.72,24,26,48,11.43,86.73,1061,909,53.86,389,326,54.41,17,22,43.59,4.37,93.25,9.64,88.43,0.981
Colorado Avalanche,82,1615.0333,50,25,7,48,107,0.652,1815,1603,53.1,1276,1177,52.02,929,818,53.18,91,84,52,83.37,76.95,52,871,727,54.51,478,414,53.59,74,70,51.39,15.48,83.09,365,316,53.6,239,231,50.85,49,51,49,20.5,77.92,506,411,55.18,239,183,56.64,25,19,56.82,10.46,89.62,1080,1013,51.6,410,366,52.84,17,14,54.84,4.15,96.17,9.8,89.73,0.995
