Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1313.7,47,30,5,44,99,0.604,1522,1185,56.22,1091,877,55.44,768,633,54.82,70,83,45.75,76.29,75.22,50.35,769,609,55.81,429,341,55.71,61,62,49.59,14.22,81.82,326,226,59.06,225,154,59.37,41,40,50.62,18.22,74.03,443,383,53.63,204,187,52.17,20,22,47.62,9.8,88.24,866,653,57.01,299,251,54.36,8,15,34.78,2.68,94.02,9.11,86.89,0.96
Tampa Bay Lightning,82,1676.8667,45,29,8,42,98,0.598,1877,1437,56.64,1301,1066,54.96,881,767,53.46,90,93,49.18,91.7,90.79,50.25,916,686,57.18,476,404,54.09,72,68,51.43,15.13,83.17,357,278,56.22,229,191,54.52,41,34,54.67,17.9,82.2,559,408,57.81,247,213,53.7,31,34,47.69,12.55,84.04,1120,823,57.64,371,314,54.16,18,16,52.94,4.85,94.9,10.22,87.87,0.981
Chicago Blackhawks,82,2431.9667,23,53,6,22,52,0.317,2244,2347,48.88,1620,1745,48.14,1128,1227,47.9,78,141,35.62,109.77,129.7,45.84,1035,1177,46.79,567,659,46.25,68,111,37.99,11.99,83.16,417,513,44.84,268,336,44.37,47,81,36.72,17.54,75.89,618,664,48.21,299,323,48.07,21,30,41.18,7.02,90.71,1362,1341,50.39,506,503,50.15,10,23,30.3,1.98,95.43,6.91,88.51,0.954
Pittsburgh Penguins,82,1614.3833,38,32,12,36,88,0.537,1966,1451,57.54,1391,1105,55.73,1000,741,57.44,77,79,49.36,100.87,87.64,53.51,963,710,57.56,529,404,56.7,60,61,49.59,11.34,84.9,416,305,57.7,284,215,56.91,41,48,46.07,14.44,77.67,547,405,57.46,245,189,56.45,19,13,59.38,7.76,93.12,1159,815,58.71,422,298,58.61,17,15,53.13,4.03,94.97,7.7,89.34,0.97
Seattle Kraken,82,1697.7,34,35,13,31,81,0.494,1893,1475,56.21,1262,1090,53.66,852,752,53.12,66,75,46.81,81.37,82.88,49.54,868,700,55.36,418,372,52.91,51,52,49.51,12.2,86.02,309,287,51.85,188,175,51.79,29,36,44.62,15.43,79.43,559,413,57.51,230,197,53.86,22,16,57.89,9.57,91.88,1184,890,57.09,391,329,54.31,15,12,55.56,3.84,96.35,7.75,90.03,0.978
Carolina Hurricanes,82,1313.8167,52,23,7,50,111,0.677,1734,885,66.21,1204,666,64.39,781,469,62.48,73,60,54.89,80.26,54.78,59.43,745,419,64,397,258,60.61,64,45,58.72,16.12,82.56,314,179,63.69,207,130,61.42,46,25,64.79,22.22,80.77,431,240,64.23,190,128,59.75,18,20,47.37,9.47,84.38,1161,499,69.94,365,164,69,9,8,52.94,2.47,95.12,9.35,87.21,0.966
Ottawa Senators,82,2042.4667,37,41,4,32,78,0.476,2318,1858,55.51,1649,1287,56.16,1132,910,55.44,95,116,45.02,107.64,98.85,52.13,1078,880,55.06,578,467,55.31,77,89,46.39,13.32,80.94,396,373,51.5,264,246,51.76,42,56,42.86,15.91,77.24,682,507,57.36,314,221,58.69,35,33,51.47,11.15,85.07,1413,1094,56.36,492,386,56.04,18,21,46.15,3.66,94.56,8.39,87.25,0.956
Montreal Canadiens,82,1639.1,30,36,16,26,76,0.463,1645,1611,50.52,1168,1165,50.06,816,837,49.36,89,107,45.41,82.04,90.54,47.54,759,799,48.72,414,448,48.03,74,83,47.13,17.87,81.47,327,333,49.55,214,218,49.54,39,45,46.43,18.22,79.36,432,466,48.11,200,230,46.51,35,38,47.95,17.5,83.48,1015,888,53.34,371,340,52.18,14,18,43.75,3.77,94.71,10.91,87.22,0.981
Toronto Maple Leafs,82,1443.0667,46,26,10,41,102,0.622,1703,1311,56.5,1205,965,55.53,854,655,56.59,84,72,53.85,87.37,74.39,54.01,840,644,56.6,480,355,57.49,67,53,55.83,13.96,85.07,375,267,58.41,249,166,60,33,28,54.1,13.25,83.13,465,377,55.23,231,189,55,34,25,57.63,14.72,86.77,1040,724,58.96,339,264,56.22,17,14,54.84,5.01,94.7,9.84,89.01,0.988
Boston Bruins,82,1056.6333,47,20,15,43,109,0.665,1077,917,54.01,778,689,53.03,559,470,54.32,65,51,56.03,54.54,56.17,49.27,533,442,54.67,302,256,54.12,51,37,57.95,16.89,85.55,243,197,55.23,176,137,56.23,37,29,56.06,21.02,78.83,290,245,54.21,126,119,51.43,14,8,63.64,11.11,93.28,627,526,54.38,231,190,54.87,14,9,60.87,6.06,95.26,11.63,89.15,1.008
