Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Tampa Bay Lightning,82,828.1,45,29,8,42,98,0.598,772,877,46.82,568,610,48.22,393,427,47.93,60,38,61.22,50.61,40.94,55.28,389,392,49.81,213,213,50,44,30,59.46,20.66,85.92,166,167,49.85,122,108,53.04,32,19,62.75,26.23,82.41,223,225,49.78,91,105,46.43,12,11,52.17,13.19,89.52,421,556,43.09,163,194,45.66,14,8,63.64,8.59,95.88,15.27,91.1,1.064
Nashville Predators,82,1063.0667,47,30,5,44,99,0.604,1002,1119,47.24,743,783,48.69,513,533,49.04,62,43,59.05,56.73,53.86,51.3,484,523,48.06,269,267,50.19,44,33,57.14,16.36,87.64,192,216,47.06,125,136,47.89,29,16,64.44,23.2,88.24,292,307,48.75,144,131,52.36,15,17,46.88,10.42,87.02,603,687,46.74,219,235,48.24,14,9,60.87,6.39,96.17,12.09,91.93,1.04
Chicago Blackhawks,82,575.7167,23,53,6,22,52,0.317,391,699,35.87,271,487,35.75,190,339,35.92,22,39,36.07,18.27,32.96,35.66,173,339,33.79,96,175,35.42,18,31,36.73,18.75,82.29,71,146,32.72,47,95,33.1,11,20,35.48,23.4,78.95,102,193,34.58,49,80,37.98,7,11,38.89,14.29,86.25,225,420,34.88,83,151,35.47,4,8,33.33,4.82,94.7,11.58,88.5,1.001
Pittsburgh Penguins,82,910.5167,38,32,12,36,88,0.537,896,1038,46.33,648,766,45.83,452,506,47.18,50,48,51.02,51.48,49.19,51.14,415,503,45.21,227,267,45.95,33,38,46.48,14.54,85.77,166,190,46.63,107,122,46.72,20,32,38.46,18.69,73.77,249,313,44.31,120,145,45.28,13,6,68.42,10.83,95.86,555,601,48.01,194,212,47.78,14,10,58.33,7.22,95.28,11.06,90.51,1.016
Vegas Golden Knights,82,787.7667,45,29,8,41,98,0.598,724,901,44.55,525,599,46.71,386,415,48.19,52,41,55.91,41.27,40.58,50.42,371,417,47.08,223,204,52.22,42,31,57.53,18.83,84.8,171,158,51.98,116,98,54.21,26,18,59.09,22.41,81.63,200,259,43.57,107,106,50.23,16,13,55.17,14.95,87.74,392,519,43.03,136,191,41.59,6,10,37.5,4.41,94.76,13.47,90.12,1.036
Ottawa Senators,82,668.2833,37,41,4,32,78,0.476,668,727,47.89,484,531,47.68,329,388,45.89,46,43,51.69,35.07,38.8,47.48,312,361,46.36,177,204,46.46,36,35,50.7,20.34,82.84,123,164,42.86,84,114,42.42,21,21,50,25,81.58,189,197,48.96,93,90,50.82,15,14,51.72,16.13,84.44,398,412,49.14,130,163,44.37,8,8,50,6.15,95.09,13.98,88.92,1.029
Carolina Hurricanes,82,817.75,52,23,7,50,111,0.677,905,710,56.04,657,521,55.77,445,371,54.53,59,39,60.2,46.27,35.95,56.27,394,333,54.2,202,193,51.14,45,34,56.96,22.28,82.38,155,145,51.67,101,103,49.51,31,21,59.62,30.69,79.61,239,188,55.97,101,90,52.88,14,13,51.85,13.86,85.56,541,442,55.04,212,156,57.61,12,5,70.59,5.66,96.79,13.26,89.49,1.027
Toronto Maple Leafs,82,888.1333,46,26,10,41,102,0.622,859,973,46.89,627,658,48.79,433,432,50.06,61,48,55.96,47.92,45.84,51.11,431,454,48.7,250,235,51.55,50,41,54.95,20,82.55,190,181,51.21,128,125,50.59,33,24,57.89,25.78,80.8,241,273,46.89,122,110,52.59,17,17,50,13.93,84.55,478,587,44.88,156,184,45.88,8,7,53.33,5.13,96.2,14.09,88.89,1.03
Montreal Canadiens,82,829.8,30,36,16,26,76,0.463,686,969,41.45,475,672,41.41,345,463,42.7,39,49,44.32,36.83,47.56,43.64,335,462,42.03,175,229,43.32,31,37,45.59,17.71,83.84,142,188,43.03,97,115,45.75,22,26,45.83,22.68,77.39,193,274,41.33,78,114,40.63,9,11,45,11.54,90.35,393,565,41.02,149,219,40.49,5,12,29.41,3.36,94.52,11.3,89.42,1.007
Boston Bruins,82,976.3667,47,20,15,43,109,0.665,875,1073,44.92,644,757,45.97,464,492,48.54,60,48,55.56,48.8,48.91,49.94,442,513,46.28,269,252,51.63,55,43,56.12,20.45,82.94,200,203,49.63,148,126,54.01,35,26,57.38,23.65,79.37,242,310,43.84,121,126,48.99,20,17,54.05,16.53,86.51,484,634,43.29,168,219,43.41,3,5,37.5,1.79,97.72,12.93,90.24,1.032
