Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,3387.2667,47,30,5,44,99,0.604,3562,3269,52.14,2560,2343,52.21,1769,1682,51.26,185,157,54.09,184.42,163.19,53.05,1761,1569,52.88,949,847,52.84,145,120,54.72,15.28,85.83,730,617,54.19,488,413,54.16,98,74,56.98,20.08,82.08,1031,952,51.99,461,434,51.51,47,46,50.54,10.2,89.4,2104,1942,52,753,746,50.23,36,32,52.94,4.78,95.71,10.46,90.67,1.011
Tampa Bay Lightning,82,3181.9,45,29,8,42,98,0.598,3176,3057,50.95,2260,2187,50.82,1556,1579,49.63,192,178,51.89,161.91,155.77,50.97,1539,1485,50.89,823,837,49.58,156,141,52.53,18.96,83.15,619,618,50.04,416,420,49.76,99,82,54.7,23.8,80.48,920,867,51.48,407,417,49.39,57,59,49.14,14,85.85,1822,1734,51.24,667,658,50.34,34,34,50,5.1,94.83,12.34,88.73,1.011
Chicago Blackhawks,82,3134.3667,23,53,6,22,52,0.317,2692,3421,44.04,1907,2442,43.85,1348,1713,44.04,116,197,37.06,128.7,170.72,42.98,1261,1661,43.16,704,902,43.84,101,157,39.15,14.35,82.59,503,710,41.47,350,466,42.89,65,106,38.01,18.57,77.25,758,951,44.35,354,436,44.81,36,51,41.38,10.17,88.3,1581,2031,43.77,578,739,43.89,15,37,28.85,2.6,94.99,8.61,88.5,0.971
Pittsburgh Penguins,82,3505,38,32,12,36,88,0.537,3803,3543,51.77,2702,2603,50.93,1880,1740,51.93,177,170,51.01,196.66,178.42,52.43,1829,1693,51.93,989,913,52,131,141,48.16,13.25,84.56,779,678,53.47,523,446,53.97,84,105,44.44,16.06,76.46,1050,1015,50.85,466,467,49.95,47,36,56.63,10.09,92.29,2284,2063,52.54,785,731,51.78,43,27,61.43,5.48,96.31,9.41,90.23,0.996
Seattle Kraken,82,3655.0667,34,35,13,31,81,0.494,3688,3645,50.29,2561,2656,49.09,1742,1776,49.52,157,167,48.46,169.91,173.13,49.53,1731,1605,51.89,899,830,52,124,132,48.44,13.79,84.1,670,641,51.11,420,392,51.72,79,91,46.47,18.81,76.79,1061,964,52.4,479,438,52.24,45,41,52.33,9.39,90.64,2188,2366,48.05,753,856,46.8,32,30,51.61,4.25,96.5,9.01,90.6,0.996
Vegas Golden Knights,82,3366.3167,45,29,8,41,98,0.598,3304,3588,47.94,2349,2458,48.87,1701,1698,50.04,179,167,51.73,162.28,162.71,49.93,1589,1633,49.32,902,823,52.29,151,130,53.74,16.74,84.2,653,632,50.82,453,394,53.48,89,77,53.61,19.65,80.46,936,1001,48.32,449,429,51.14,62,53,53.91,13.81,87.65,1989,2126,48.34,710,789,47.36,23,35,39.66,3.24,95.56,10.52,90.16,1.007
Ottawa Senators,82,3148.3833,37,41,4,32,78,0.476,3276,3141,51.05,2359,2198,51.77,1631,1557,51.16,163,191,46.05,163.06,154.23,51.39,1549,1521,50.46,862,808,51.62,131,153,46.13,15.2,81.06,621,612,50.36,422,417,50.3,82,92,47.13,19.43,77.94,928,909,50.52,440,391,52.95,49,61,44.55,11.14,84.4,1912,1796,51.56,672,663,50.34,30,36,45.45,4.46,94.57,9.99,87.73,0.977
Carolina Hurricanes,82,3477.5333,52,23,7,50,111,0.677,4167,2751,60.23,2948,2052,58.96,1948,1437,57.55,192,141,57.66,195.62,145.54,57.34,1859,1300,58.85,943,762,55.31,157,122,56.27,16.65,83.99,748,561,57.14,473,403,54,98,70,58.33,20.72,82.63,1111,739,60.05,470,359,56.69,59,52,53.15,12.55,85.52,2591,1618,61.56,922,567,61.92,33,16,67.35,3.58,97.18,9.86,90.19,1
Montreal Canadiens,82,3561.1333,30,36,16,26,76,0.463,3239,3913,45.29,2346,2767,45.88,1615,1906,45.87,153,182,45.67,168.45,194.96,46.35,1555,1944,44.44,846,1005,45.71,127,152,45.52,15.01,84.88,652,804,44.78,433,492,46.81,85,102,45.45,19.63,79.27,903,1140,44.2,413,513,44.6,42,50,45.65,10.17,90.25,1878,2148,46.65,686,809,45.89,22,29,43.14,3.21,96.42,9.47,90.45,0.999
Toronto Maple Leafs,82,3389.2667,46,26,10,41,102,0.622,3558,3387,51.23,2562,2417,51.46,1794,1639,52.26,197,173,53.24,183.75,170.1,51.93,1801,1595,53.03,991,871,53.22,163,142,53.44,16.45,83.7,774,653,54.24,523,443,54.14,101,91,52.6,19.31,79.46,1027,942,52.16,468,428,52.23,62,51,54.87,13.25,88.08,2055,1977,50.97,709,696,50.46,31,29,51.67,4.37,95.83,10.98,89.44,1.004
Boston Bruins,82,3613.8667,47,20,15,43,109,0.665,3407,3678,48.09,2493,2655,48.43,1773,1803,49.58,194,153,55.91,181.33,179.43,50.26,1719,1769,49.28,998,935,51.63,159,128,55.4,15.93,86.31,777,725,51.73,557,488,53.3,109,81,57.37,19.57,83.4,942,1044,47.43,441,447,49.66,50,47,51.55,11.34,89.49,1907,2171,46.76,680,778,46.64,33,23,58.93,4.85,97.04,10.94,91.51,1.025
Winnipeg Jets,82,3580.15,52,24,6,52,110,0.671,3672,3336,52.4,2660,2423,52.33,1859,1691,52.37,185,132,58.36,180.33,159.54,53.06,1698,1509,52.95,924,830,52.68,161,114,58.55,17.42,86.27,714,656,52.12,498,425,53.95,99,63,61.11,19.88,85.18,984,853,53.57,426,405,51.26,62,51,54.87,14.55,87.41,2231,2011,52.59,848,771,52.38,23,16,58.97,2.71,97.92,9.95,92.19,1.021
Calgary Flames,82,3512.15,38,39,5,38,81,0.494,3719,3545,51.2,2654,2511,51.38,1809,1738,51,173,193,47.27,179.47,184.42,49.32,1678,1736,49.15,880,944,48.25,135,153,46.88,15.34,83.79,686,703,49.39,449,496,47.51,90,91,49.72,20.04,81.65,992,1033,48.99,431,448,49.03,45,62,42.06,10.44,86.16,2303,2066,52.71,832,701,54.27,36,36,50,4.33,94.86,9.56,88.9,0.985
Colorado Avalanche,82,3288.7667,50,25,7,48,107,0.652,3623,3167,53.36,2582,2311,52.77,1829,1609,53.2,197,169,53.83,176.11,158.95,52.56,1757,1448,54.82,958,824,53.76,164,140,53.95,17.12,83.01,740,651,53.2,480,463,50.9,101,96,51.27,21.04,79.27,1017,797,56.06,478,361,56.97,63,44,58.88,13.18,87.81,2154,1968,52.26,792,705,52.91,32,28,53.33,4.04,96.03,10.77,89.5,1.003
Los Angeles Kings,82,3139.8333,44,27,11,42,99,0.604,3313,2907,53.26,2419,2044,54.2,1649,1426,53.63,165,138,54.46,159.58,140.35,53.21,1473,1368,51.85,776,704,52.43,137,118,53.73,17.65,83.24,598,557,51.77,390,365,51.66,83,72,53.55,21.28,80.27,875,811,51.9,386,339,53.24,54,46,54,13.99,86.43,2049,1755,53.86,790,638,55.32,27,18,60,3.42,97.18,10.01,90.32,1.003
Edmonton Oilers,82,3297.15,49,27,6,47,104,0.634,3575,2941,54.86,2612,2164,54.69,1834,1523,54.63,187,162,53.58,198.64,153.54,56.4,1827,1498,54.95,969,835,53.71,145,134,51.97,14.96,83.95,836,590,58.63,552,397,58.17,102,82,55.43,18.48,79.35,991,908,52.19,417,438,48.77,43,52,45.26,10.31,88.13,2066,1677,55.2,776,625,55.39,40,25,61.54,5.15,96,10.2,89.36,0.996
Vancouver Canucks,82,3226.3333,50,23,9,50,109,0.665,3238,2964,52.21,2316,2162,51.72,1540,1474,51.09,192,141,57.66,174.12,150.44,53.65,1610,1368,54.06,848,734,53.6,155,113,57.84,18.28,84.6,707,592,54.43,460,385,54.44,103,78,56.91,22.39,79.74,903,776,53.78,388,349,52.65,52,35,59.77,13.4,89.97,1913,1808,51.41,619,672,47.95,34,26,56.67,5.49,96.13,12.47,90.43,1.029
New York Rangers,82,3504.7167,55,23,4,51,114,0.695,3662,3528,50.93,2691,2543,51.41,1852,1722,51.82,195,155,55.71,182.79,172.82,51.4,1735,1654,51.2,940,906,50.92,149,130,53.41,15.85,85.65,712,705,50.25,460,460,50,91,83,52.3,19.78,81.96,1023,949,51.88,480,446,51.84,58,47,55.24,12.08,89.46,2209,2070,51.62,834,732,53.26,43,24,64.18,5.16,96.72,10.53,91,1.015
Buffalo Sabres,82,3363.4,39,37,6,37,84,0.512,3309,3277,50.24,2407,2398,50.09,1713,1621,51.38,159,164,49.23,151.76,170.71,47.06,1510,1588,48.74,860,872,49.65,121,132,47.83,14.07,84.86,554,678,44.97,365,459,44.3,54,84,39.13,14.79,81.7,956,910,51.23,495,413,54.52,67,48,58.26,13.54,88.38,2003,1952,50.64,779,676,53.54,34,30,53.13,4.36,95.56,9.28,89.88,0.992
Philadelphia Flyers,82,3467.0167,38,33,11,34,87,0.53,3675,3469,51.44,2680,2283,54,1886,1577,54.46,148,172,46.25,172.78,160.44,51.85,1649,1615,50.52,900,808,52.69,118,145,44.87,13.11,82.05,690,616,52.83,451,398,53.12,73,85,46.2,16.19,78.64,959,999,48.98,449,410,52.27,45,60,42.86,10.02,85.37,2282,2074,52.39,893,684,56.63,28,27,50.91,3.14,96.05,7.85,89.09,0.969
Columbus Blue Jackets,82,3571.1667,27,43,12,24,66,0.402,3580,3957,47.5,2543,2822,47.4,1738,2000,46.5,158,209,43.05,166.2,201.45,45.21,1656,1896,46.62,875,1015,46.3,133,161,45.24,15.2,84.14,620,769,44.64,402,509,44.13,77,95,44.77,19.15,81.34,1036,1127,47.9,473,506,48.31,56,66,45.9,11.84,86.96,2110,2327,47.55,763,901,45.85,24,46,34.29,3.15,94.89,9.09,89.55,0.986
Detroit Red Wings,82,3524.3833,41,32,9,38,91,0.555,3297,3841,46.19,2360,2762,46.08,1648,1895,46.51,186,195,48.82,156.29,192.09,44.86,1499,1838,44.92,797,984,44.75,140,166,45.75,17.57,83.13,530,738,41.8,369,488,43.06,82,101,44.81,22.22,79.3,969,1100,46.83,428,496,46.32,58,65,47.15,13.55,86.9,2011,2311,46.53,738,824,47.25,44,26,62.86,5.96,96.84,11.29,89.71,1.01
New Jersey Devils,82,3497.2,38,39,5,38,81,0.494,3568,3384,51.32,2512,2505,50.07,1745,1777,49.55,180,200,47.37,179.71,184.83,49.3,1690,1636,50.81,892,917,49.31,152,164,48.1,17.04,82.12,686,692,49.78,459,478,48.99,93,107,46.5,20.26,77.62,1004,944,51.54,433,439,49.66,59,57,50.86,13.63,87.02,2125,1918,52.56,783,759,50.78,23,32,41.82,2.94,95.78,10.32,88.75,0.991
St Louis Blues,82,3287.8667,43,33,6,38,92,0.561,2993,3420,46.67,2186,2506,46.59,1551,1740,47.13,158,162,49.38,148.05,178.06,45.4,1428,1652,46.36,799,901,47,131,135,49.25,16.4,85.02,572,724,44.14,397,474,45.58,82,81,50.31,20.65,82.91,856,928,47.98,402,427,48.49,49,54,47.57,12.19,87.35,1798,2018,47.12,673,763,46.87,26,27,49.06,3.86,96.46,10.19,90.69,1.009
Dallas Stars,82,3532.7,52,21,9,48,113,0.689,3799,3387,52.87,2702,2437,52.58,1839,1678,52.29,197,162,54.87,189.09,152.9,55.29,1893,1519,55.48,1005,839,54.5,173,137,55.81,17.21,83.67,781,608,56.23,499,417,54.48,107,85,55.73,21.44,79.62,1112,911,54.97,506,422,54.53,66,52,55.93,13.04,87.68,2256,2082,52.01,759,754,50.17,23,23,50,3.03,96.95,10.71,90.35,1.011
Florida Panthers,82,3561.6333,52,24,6,49,110,0.671,4080,3158,56.37,2838,2346,54.75,1963,1644,54.42,186,143,56.53,203.61,155.58,56.69,1889,1437,56.79,989,825,54.52,154,119,56.41,15.57,85.58,789,617,56.12,512,442,53.67,93,83,52.84,18.16,81.22,1100,820,57.29,477,383,55.47,61,36,62.89,12.79,90.6,2465,1904,56.42,882,713,55.3,28,21,57.14,3.17,97.05,9.48,91.3,1.008
Minnesota Wild,82,3595.75,39,33,10,36,88,0.537,3549,3629,49.44,2536,2576,49.61,1727,1771,49.37,165,180,47.83,173.35,166.5,51.01,1666,1695,49.57,858,888,49.14,130,138,48.51,15.15,84.46,686,653,51.23,460,419,52.33,79,89,47.02,17.17,78.76,980,1042,48.47,398,469,45.91,51,49,51,12.81,89.55,2112,2268,48.22,775,804,49.08,28,40,41.18,3.61,95.02,9.55,89.84,0.994
San Jose Sharks,82,3371.6333,19,54,9,18,47,0.287,2958,4005,42.48,2087,2848,42.29,1399,1975,41.46,122,207,37.08,137.11,205.11,40.06,1340,1992,40.22,689,1075,39.06,102,162,38.64,14.8,84.93,538,802,40.15,336,527,38.93,61,97,38.61,18.15,81.59,802,1190,40.26,353,548,39.18,41,65,38.68,11.61,88.14,1783,2398,42.65,627,823,43.24,19,43,30.65,3.03,94.78,8.72,89.52,0.982
Arizona Coyotes,82,3402.15,36,41,5,34,77,0.47,3131,3544,46.91,2261,2611,46.41,1526,1782,46.13,170,199,46.07,157.05,183.36,46.14,1527,1739,46.75,802,930,46.3,132,156,45.83,16.46,83.23,607,718,45.81,404,467,46.38,85,91,48.3,21.04,80.51,920,1021,47.4,398,463,46.23,47,65,41.96,11.81,85.96,1803,2184,45.22,653,770,45.89,38,39,49.35,5.82,94.94,11.14,88.83,1
Washington Capitals,82,3456.1167,40,31,11,36,91,0.555,3171,3714,46.06,2231,2589,46.29,1511,1738,46.51,152,168,47.5,169.38,173.57,49.39,1528,1675,47.71,796,875,47.64,125,134,48.26,15.7,84.69,647,675,48.94,418,445,48.44,88,83,51.46,21.05,81.35,881,1000,46.84,378,430,46.78,37,51,42.05,9.79,88.14,1799,2253,44.4,644,777,45.32,25,34,42.37,3.88,95.62,10.06,90.33,1.004
