Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,4106.6,47,30,5,44,99,0.604,4303,4038,51.59,3117,2879,51.98,2168,2068,51.18,201,183,52.34,208.47,186.82,52.74,2046,1858,52.41,1131,1014,52.73,163,141,53.62,14.41,86.09,852,727,53.96,582,490,54.29,112,85,56.85,19.24,82.65,1194,1131,51.35,549,524,51.16,51,56,47.66,9.29,89.31,2498,2377,51.24,930,938,49.79,27,35,43.55,2.9,96.27,9.27,91.15,1.004
Tampa Bay Lightning,82,4168.3167,45,29,8,42,98,0.598,4100,4004,50.59,2860,2834,50.23,1936,2014,49.01,210,221,48.72,188.59,193.17,49.4,1939,1848,51.2,1006,1031,49.39,168,175,48.98,16.7,83.03,777,743,51.12,512,515,49.85,109,104,51.17,21.29,79.81,1162,1105,51.26,494,516,48.91,59,71,45.38,11.94,86.24,2338,2281,50.62,845,874,49.16,38,38,50,4.5,95.65,10.85,89.03,0.999
Chicago Blackhawks,82,4172.5667,23,53,6,22,52,0.317,3548,4575,43.68,2504,3290,43.22,1772,2299,43.53,136,225,37.67,153.15,216.01,41.49,1602,2227,41.84,901,1204,42.8,118,175,40.27,13.1,85.47,624,937,39.97,424,604,41.25,78,117,40,18.4,80.63,978,1290,43.12,477,600,44.29,40,58,40.82,8.39,90.33,2090,2609,44.48,789,996,44.2,17,44,27.87,2.15,95.58,7.67,90.21,0.979
Pittsburgh Penguins,82,4136.9333,38,32,12,36,88,0.537,4409,4190,51.27,3155,3064,50.73,2193,2046,51.73,208,189,52.39,210.89,196.62,51.75,2062,1959,51.28,1113,1060,51.22,150,155,49.18,13.48,85.38,862,778,52.56,577,519,52.65,95,115,45.24,16.46,77.84,1200,1181,50.4,536,541,49.77,55,40,57.89,10.26,92.61,2564,2426,51.38,961,893,51.83,51,32,61.45,5.31,96.42,9.48,90.76,1.002
Seattle Kraken,82,4212.5833,34,35,13,31,81,0.494,4248,4048,51.21,2909,2956,49.6,1971,1996,49.68,157,176,47.15,177.83,178.27,49.94,1937,1782,52.08,971,919,51.38,120,138,46.51,12.36,84.98,737,710,50.93,458,428,51.69,79,89,47.02,17.25,79.21,1200,1072,52.82,513,491,51.1,41,49,45.56,7.99,90.02,2501,2534,49.67,900,963,48.31,33,28,54.1,3.67,97.09,7.97,91.18,0.991
Vegas Golden Knights,82,4180.25,45,29,8,41,98,0.598,4172,4418,48.57,2942,3016,49.38,2097,2071,50.31,203,191,51.52,187.62,181.99,50.76,1969,1964,50.06,1081,992,52.15,173,145,54.4,16,85.38,760,756,50.13,520,468,52.63,99,86,53.51,19.04,81.62,1209,1208,50.02,561,524,51.71,74,59,55.64,13.19,88.74,2418,2564,48.53,889,973,47.74,20,39,33.9,2.25,95.99,9.68,90.78,1.005
Ottawa Senators,82,4113.6667,37,41,4,32,78,0.476,4234,4107,50.76,3026,2847,51.52,2089,2008,50.99,192,213,47.41,191.23,186.16,50.67,1888,1934,49.4,1058,1019,50.94,157,172,47.72,14.84,83.12,771,775,49.87,530,518,50.57,104,104,50,19.62,79.92,1117,1159,49.08,528,501,51.31,53,68,43.8,10.04,86.43,2477,2344,51.38,906,881,50.7,30,36,45.45,3.31,95.91,9.19,89.39,0.986
Carolina Hurricanes,82,4142.2833,52,23,7,50,111,0.677,4936,3373,59.41,3494,2502,58.27,2247,1758,56.1,199,168,54.22,214.38,165.54,56.43,2125,1544,57.92,1050,902,53.79,160,142,52.98,15.24,84.26,841,660,56.03,516,460,52.87,104,78,57.14,20.16,83.04,1284,884,59.23,534,442,54.71,56,64,46.67,10.49,85.52,3050,1955,60.94,1117,733,60.38,35,18,66.04,3.13,97.54,8.86,90.44,0.993
Montreal Canadiens,82,4144.05,30,36,16,26,76,0.463,3796,4544,45.52,2714,3190,45.97,1861,2186,45.98,180,202,47.12,179.22,210.31,46.01,1770,2175,44.87,964,1127,46.1,149,164,47.6,15.46,85.45,748,863,46.43,498,530,48.44,92,97,48.68,18.47,81.7,1022,1312,43.79,466,597,43.84,57,67,45.97,12.23,88.78,2136,2494,46.13,807,957,45.75,26,33,44.07,3.22,96.55,9.67,90.76,1.004
Toronto Maple Leafs,82,4223.5,46,26,10,41,102,0.622,4394,4207,51.09,3171,2979,51.56,2214,1987,52.7,235,195,54.65,211.3,195.32,51.96,2116,1965,51.85,1179,1049,52.92,197,154,56.13,16.71,85.32,926,808,53.4,621,542,53.4,128,99,56.39,20.61,81.73,1190,1157,50.7,558,507,52.39,69,55,55.65,12.37,89.15,2555,2354,52.05,917,852,51.84,30,38,44.12,3.27,95.54,10.61,90.19,1.008
