Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,474.0167,47,30,5,44,99,0.604,510,460,52.58,360,332,52.02,254,250,50.4,24,40,37.5,24.96,27.34,47.72,261,227,53.48,140,136,50.72,22,33,40,15.71,75.74,123,80,60.59,85,61,58.22,15,23,39.47,17.65,62.3,138,147,48.42,55,75,42.31,7,10,41.18,12.73,86.67,277,254,52.17,105,101,50.97,2,3,40,1.9,97.03,9.45,84,0.934
Tampa Bay Lightning,82,760.9833,45,29,8,42,98,0.598,805,716,52.93,538,522,50.75,363,383,48.66,37,48,43.53,32.88,38.75,45.9,397,355,52.79,196,205,48.88,32,36,47.06,16.33,82.44,147,146,50.17,88,97,47.57,17,16,51.52,19.32,83.51,250,209,54.47,108,108,50,15,20,42.86,13.89,81.48,454,388,53.92,152,158,49.03,5,9,35.71,3.29,94.3,10.19,87.47,0.977
Chicago Blackhawks,82,869.4667,23,53,6,22,52,0.317,806,922,46.64,573,666,46.25,395,461,46.14,29,59,32.95,33.73,49.25,40.65,354,429,45.21,188,237,44.24,26,43,37.68,13.83,81.86,122,192,38.85,82,126,39.42,14,34,29.17,17.07,73.02,232,237,49.47,106,111,48.85,12,9,57.14,11.32,91.89,493,536,47.91,192,203,48.61,3,13,18.75,1.56,93.6,7.34,87.2,0.945
Pittsburgh Penguins,82,759.9167,38,32,12,36,88,0.537,927,708,56.7,645,520,55.36,448,347,56.35,31,29,51.67,40.83,38.32,51.58,433,316,57.81,233,178,56.69,24,21,53.33,10.3,88.2,184,142,56.44,119,104,53.36,15,18,45.45,12.61,82.69,249,174,58.87,114,74,60.64,9,3,75,7.89,95.95,567,408,58.15,195,154,55.87,7,6,53.85,3.59,96.1,6.92,91.64,0.986
Seattle Kraken,82,831.7333,34,35,13,31,81,0.494,901,774,53.79,577,569,50.35,400,384,51.02,25,36,40.98,32.27,39.73,44.82,398,374,51.55,191,193,49.74,17,24,41.46,8.9,87.56,129,152,45.91,77,92,45.56,10,17,37.04,12.99,81.52,269,222,54.79,114,101,53.02,7,7,50,6.14,93.07,561,448,55.6,192,170,53.04,8,8,50,4.17,95.29,6.25,90.63,0.969
Ottawa Senators,82,834.0667,37,41,4,32,78,0.476,906,782,53.67,619,525,54.11,421,366,53.49,29,42,40.85,35.97,35.12,50.6,401,366,52.28,204,186,52.31,23,38,37.7,11.27,79.57,140,137,50.54,91,92,49.73,15,24,38.46,16.48,73.91,261,229,53.27,113,94,54.59,8,14,36.36,7.08,85.11,530,441,54.58,189,159,54.31,6,3,66.67,3.17,98.11,6.89,88.52,0.954
Carolina Hurricanes,82,696.8833,52,23,7,50,111,0.677,931,470,66.45,647,346,65.16,410,237,63.37,28,29,49.12,38.29,25.62,59.91,392,212,64.9,198,125,61.3,26,22,54.17,13.13,82.4,162,78,67.5,106,58,64.63,21,11,65.63,19.81,81.03,230,134,63.19,92,67,57.86,5,11,31.25,5.43,83.58,621,261,70.41,202,84,70.63,2,4,33.33,0.99,95.24,6.83,87.76,0.946
Montreal Canadiens,82,636.4167,30,36,16,26,76,0.463,653,666,49.51,463,465,49.89,322,324,49.85,26,35,42.62,30.03,28.32,51.46,280,328,46.05,161,174,48.06,22,33,40,13.66,81.03,127,123,50.8,82,77,51.57,14,18,43.75,17.07,76.62,153,205,42.74,79,97,44.89,8,15,34.78,10.13,84.54,402,332,54.77,143,133,51.81,3,2,60,2.1,98.5,8.07,89.2,0.973
Toronto Maple Leafs,82,725.9667,46,26,10,41,102,0.622,814,650,55.6,555,472,54.04,395,319,55.32,38,31,55.07,38.33,34.78,52.43,408,308,56.98,231,164,58.48,32,24,57.14,13.85,85.37,172,128,57.33,121,81,59.9,18,15,54.55,14.88,81.48,236,180,56.73,110,83,56.99,14,9,60.87,12.73,89.16,498,356,58.31,150,139,51.9,6,6,50,4,95.68,9.62,90.28,0.999
Boston Bruins,82,547.6833,47,20,15,43,109,0.665,520,501,50.93,370,371,49.93,262,239,52.3,30,23,56.6,23.5,25.76,47.71,249,234,51.55,137,128,51.7,23,19,54.76,16.79,85.16,115,100,53.49,85,69,55.19,18,12,60,21.18,82.61,134,134,50,52,59,46.85,5,7,41.67,9.62,88.14,307,280,52.3,113,99,53.3,7,3,70,6.19,96.97,11.45,90.38,1.018
Winnipeg Jets,82,514.9167,52,24,6,52,110,0.671,610,420,59.22,411,317,56.46,296,224,56.92,29,21,58,25.47,21.07,54.72,253,173,59.39,130,103,55.79,28,14,66.67,21.54,86.41,120,69,63.49,79,48,62.2,16,8,66.67,20.25,83.33,133,104,56.12,51,55,48.11,12,6,66.67,23.53,89.09,372,261,58.77,149,99,60.08,1,5,16.67,0.67,94.95,9.8,90.63,1.004
