Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1568.4167,47,30,5,44,99,0.604,1461,1642,47.08,1097,1161,48.58,766,821,48.27,81,63,56.25,79.85,71.18,52.87,667,707,48.54,381,388,49.54,58,50,53.7,15.22,87.11,283,300,48.54,190,205,48.1,38,27,58.46,20,86.83,384,407,48.55,191,183,51.07,20,23,46.51,10.47,87.43,887,1028,46.32,339,385,46.82,13,12,52,3.83,96.88,10.57,92.33,1.029
Tampa Bay Lightning,82,1475.05,45,29,8,42,98,0.598,1325,1596,45.36,951,1094,46.5,644,762,45.8,86,66,56.58,74.39,66.67,52.74,648,706,47.86,339,384,46.89,60,54,52.63,17.7,85.94,269,284,48.64,181,194,48.27,41,35,53.95,22.65,81.96,379,422,47.32,158,190,45.4,19,19,50,12.03,90,706,982,41.82,272,350,43.73,22,12,64.71,8.09,96.57,13.35,91.34,1.047
Chicago Blackhawks,82,814.3667,23,53,6,22,52,0.317,572,1061,35.03,397,745,34.76,281,520,35.08,29,40,42.03,27.81,47.61,36.87,262,511,33.89,145,268,35.11,23,29,44.23,15.86,89.18,94,215,30.42,63,141,30.88,13,19,40.63,20.63,86.52,168,296,36.21,82,127,39.23,10,10,50,12.2,92.13,328,612,34.89,123,233,34.55,5,11,31.25,4.07,95.28,10.32,92.31,1.026
Pittsburgh Penguins,82,1415.8167,38,32,12,36,88,0.537,1344,1616,45.41,983,1165,45.76,668,778,46.2,80,63,55.94,74.23,67.93,52.22,612,735,45.43,329,389,45.82,52,50,50.98,15.81,87.15,244,272,47.29,159,179,47.04,30,40,42.86,18.87,77.65,368,463,44.28,170,210,44.74,22,10,68.75,12.94,95.24,783,970,44.67,292,358,44.92,21,13,61.76,7.19,96.37,11.98,91.9,1.039
Vegas Golden Knights,82,1436.5167,45,29,8,41,98,0.598,1349,1600,45.74,988,1075,47.89,725,736,49.62,81,63,56.25,68.7,63.15,52.1,656,714,47.88,379,353,51.78,63,51,55.26,16.62,85.55,266,283,48.45,184,172,51.69,38,30,55.88,20.65,82.56,390,431,47.5,195,181,51.86,25,21,54.35,12.82,88.4,758,899,45.75,294,344,46.08,9,12,42.86,3.06,96.51,11.17,91.44,1.026
Ottawa Senators,82,1199,37,41,4,32,78,0.476,1117,1346,45.35,824,948,46.5,573,679,45.77,68,62,52.31,61.11,61.47,49.85,498,645,43.57,305,344,47,55,51,51.89,18.03,85.17,221,261,45.85,155,175,46.97,31,33,48.44,20,81.14,277,384,41.91,150,169,47.02,24,18,57.14,16,89.35,656,764,46.2,230,305,42.99,8,11,42.11,3.48,96.39,11.87,90.87,1.027
Carolina Hurricanes,82,1508.1,52,23,7,50,111,0.677,1609,1383,53.78,1181,1020,53.66,774,718,51.88,85,58,59.44,77.17,65.7,54.01,686,634,51.97,345,366,48.52,61,52,53.98,17.68,85.79,271,279,49.27,164,188,46.59,39,30,56.52,23.78,84.04,415,355,53.9,181,178,50.42,22,22,50,12.15,87.64,975,832,53.96,391,309,55.86,20,5,80,5.12,98.38,10.98,91.92,1.029
Montreal Canadiens,82,1205.2667,30,36,16,26,76,0.463,939,1502,38.47,663,1024,39.3,470,690,40.52,54,67,44.63,46.41,67.29,40.82,443,711,38.39,234,350,40.07,42,52,44.68,17.95,85.14,184,286,39.15,124,178,41.06,29,34,46.03,23.39,80.9,259,425,37.87,110,172,39.01,13,18,41.94,11.82,89.53,514,846,37.79,203,315,39.19,8,15,34.78,3.94,95.24,11.49,90.29,1.018
Toronto Maple Leafs,82,1586.3833,46,26,10,41,102,0.622,1480,1757,45.72,1099,1201,47.78,771,779,49.74,100,78,56.18,80.28,77.1,51.01,714,813,46.76,424,407,51.02,86,60,58.9,20.28,85.26,324,323,50.08,225,225,50,58,37,61.05,25.78,83.56,390,490,44.32,199,182,52.23,28,23,54.9,14.07,87.36,836,1000,45.53,296,343,46.32,6,18,25,2.03,94.75,12.97,89.99,1.03
Boston Bruins,82,1639.55,47,20,15,43,109,0.665,1353,1841,42.36,996,1290,43.57,700,848,45.22,84,69,54.9,74.08,75.44,49.54,677,827,45.01,390,403,49.18,74,62,54.41,18.97,84.62,290,339,46.1,206,209,49.64,48,36,57.14,23.3,82.78,387,488,44.23,184,194,48.68,26,26,50,14.13,86.6,714,1122,38.89,261,408,39.01,5,7,41.67,1.92,98.28,12,91.86,1.039
