Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1468.3833,47,30,5,44,99,0.604,1612,1385,53.79,1137,985,53.58,779,715,52.14,70,49,58.82,71.54,56.84,55.73,773,647,54.44,413,341,54.77,60,37,61.86,14.53,89.15,312,240,56.52,214,157,57.68,41,22,65.08,19.16,85.99,461,407,53.11,199,184,51.96,19,15,55.88,9.55,91.85,931,806,53.6,341,340,50.07,10,12,45.45,2.93,96.47,8.99,93.15,1.021
Tampa Bay Lightning,82,1289.5833,45,29,8,42,98,0.598,1234,1194,50.82,870,853,50.49,598,613,49.38,61,76,44.53,50.32,54.2,48.14,553,574,49.07,298,318,48.38,52,63,45.22,17.45,80.19,229,234,49.46,153,165,48.11,35,41,46.05,22.88,75.15,324,340,48.8,145,153,48.66,17,22,43.59,11.72,85.62,725,627,53.62,276,257,51.78,9,13,40.91,3.26,94.94,10.2,87.6,0.978
Chicago Blackhawks,82,1299.8667,23,53,6,22,52,0.317,1108,1465,43.06,783,1042,42.9,564,728,43.65,42,71,37.17,47.08,63.38,42.62,506,716,41.41,300,385,43.8,37,59,38.54,12.33,84.68,213,287,42.6,155,184,45.72,26,36,41.94,16.77,80.43,293,429,40.58,145,201,41.91,11,23,32.35,7.59,88.56,636,839,43.12,236,314,42.91,5,12,29.41,2.12,96.18,7.45,90.25,0.977
Pittsburgh Penguins,82,1407.25,38,32,12,36,88,0.537,1443,1398,50.79,1035,1010,50.61,714,676,51.37,68,65,51.13,63.71,62.59,50.44,689,670,50.7,372,354,51.24,53,58,47.75,14.25,83.62,296,262,53.05,201,167,54.62,34,39,46.58,16.92,76.65,393,408,49.06,171,187,47.77,19,19,50,11.11,89.84,822,803,50.58,305,287,51.52,15,7,68.18,4.92,97.56,9.52,90.38,0.999
Seattle Kraken,82,1531.8,34,35,13,31,81,0.494,1537,1472,51.08,1083,1089,49.86,728,738,49.66,52,60,46.43,63.08,60.01,51.25,709,641,52.52,366,349,51.19,40,51,43.96,10.93,85.39,270,255,51.43,175,169,50.87,28,37,43.08,16,78.11,439,386,53.21,191,180,51.48,12,14,46.15,6.28,92.22,885,923,48.95,329,353,48.24,12,9,57.14,3.65,97.45,7.14,91.87,0.99
Vegas Golden Knights,82,1517.3833,45,29,8,41,98,0.598,1474,1614,47.73,1032,1099,48.43,736,739,49.9,64,62,50.79,63.65,61.79,50.74,703,714,49.61,385,358,51.82,59,45,56.73,15.32,87.43,280,269,51,188,169,52.66,33,28,54.1,17.55,83.43,423,445,48.73,197,189,51.04,26,17,60.47,13.2,91.01,840,953,46.85,309,346,47.18,4,17,19.05,1.29,95.09,8.7,91.61,1.003
Ottawa Senators,82,1238.9833,37,41,4,32,78,0.476,1235,1237,49.96,888,859,50.83,616,597,50.78,55,65,45.83,53.85,51.94,50.9,559,589,48.69,313,310,50.24,46,53,46.46,14.7,82.9,243,228,51.59,165,156,51.4,36,30,54.55,21.82,80.77,316,361,46.68,148,154,49.01,10,23,30.3,6.76,85.06,696,693,50.11,266,257,50.86,9,12,42.86,3.38,95.33,8.93,89.11,0.98
Carolina Hurricanes,82,1546.9,52,23,7,50,111,0.677,1879,1237,60.3,1315,921,58.81,844,641,56.84,67,58,53.6,78.25,56.06,58.26,840,563,59.87,403,325,55.36,58,52,52.73,14.39,84,322,241,57.19,194,169,53.44,32,27,54.24,16.49,84.02,518,322,61.67,209,156,57.26,26,25,50.98,12.44,83.97,1123,701,61.57,415,276,60.06,9,6,60,2.17,97.83,7.94,90.95,0.989
Montreal Canadiens,82,1634.8667,30,36,16,26,76,0.463,1512,1740,46.49,1107,1227,47.43,737,830,47.03,61,57,51.69,72.03,75.14,48.94,728,832,46.67,396,422,48.41,52,51,50.49,13.13,87.91,299,325,47.92,200,189,51.41,35,34,50.72,17.5,82.01,429,507,45.83,196,233,45.69,17,17,50,8.67,92.7,819,948,46.35,309,366,45.78,9,6,60,2.91,98.36,8.28,93.13,1.014
Toronto Maple Leafs,82,1425.0167,46,26,10,41,102,0.622,1474,1386,51.54,1068,999,51.67,733,680,51.88,68,64,51.52,64.15,62.16,50.79,713,640,52.7,365,363,50.14,58,55,51.33,15.89,84.85,295,268,52.4,192,184,51.06,42,38,52.5,21.88,79.35,418,372,52.91,173,179,49.15,16,17,48.48,9.25,90.5,840,792,51.47,329,289,53.24,10,9,52.63,3.04,96.89,9.28,90.59,0.999
