Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,1069.8,47,30,5,44,99,0.604,1230,1011,54.89,883,733,54.64,623,532,53.94,50,71,41.32,57.08,58.8,49.26,606,504,54.59,337,285,54.18,45,54,45.45,13.35,81.05,257,187,57.88,178,128,58.17,33,36,47.83,18.54,71.88,349,317,52.4,159,157,50.32,12,18,40,7.55,88.54,680,543,55.6,250,213,54,4,11,26.67,1.6,94.84,8.03,86.65,0.947
Tampa Bay Lightning,82,1403.6833,45,29,8,42,98,0.598,1541,1214,55.93,1039,887,53.95,694,639,52.06,63,79,44.37,63.88,72.3,46.91,738,568,56.51,369,329,52.87,56,58,49.12,15.18,82.37,279,225,55.36,178,156,53.29,33,28,54.1,18.54,82.05,459,343,57.23,191,173,52.47,23,30,43.4,12.04,82.66,907,672,57.44,297,267,52.66,7,13,35,2.36,95.13,9.08,87.64,0.967
Chicago Blackhawks,82,2058.3333,23,53,6,22,52,0.317,1868,2049,47.69,1324,1503,46.83,927,1051,46.87,65,114,36.31,78.26,105.02,42.7,834,1000,45.47,456,551,45.28,58,87,40,12.72,84.21,317,435,42.15,206,279,42.47,39,62,38.61,18.93,77.78,517,565,47.78,250,272,47.89,19,25,43.18,7.6,90.81,1126,1158,49.3,430,449,48.92,7,21,25,1.63,95.32,7.01,89.15,0.962
Pittsburgh Penguins,82,1313.8667,38,32,12,36,88,0.537,1622,1176,57.97,1137,889,56.12,811,592,57.8,60,61,49.59,72.96,66.1,52.46,761,554,57.87,412,317,56.52,45,47,48.91,10.92,85.17,322,244,56.89,217,173,55.64,31,36,46.27,14.29,79.19,439,310,58.61,195,144,57.52,14,11,56,7.18,92.36,959,653,59.49,364,248,59.48,15,12,55.56,4.12,95.16,7.4,89.7,0.971
Seattle Kraken,82,1385.3667,34,35,13,31,81,0.494,1524,1205,55.84,988,901,52.3,668,629,51.5,42,66,38.89,56.14,65.41,46.19,665,572,53.76,312,310,50.16,31,44,41.33,9.94,85.81,224,237,48.59,134,144,48.2,18,29,38.3,13.43,79.86,441,335,56.83,178,166,51.74,13,15,46.43,7.3,90.96,935,700,57.19,325,276,54.08,11,12,47.83,3.38,95.65,6.29,89.51,0.958
Ottawa Senators,82,1675.6833,37,41,4,32,78,0.476,1882,1524,55.26,1314,1040,55.82,900,732,55.15,69,86,44.52,76.27,72.75,51.18,831,700,54.28,440,365,54.66,56,68,45.16,12.73,81.37,307,286,51.77,210,187,52.9,37,41,47.44,17.62,78.07,524,414,55.86,230,178,56.37,19,27,41.3,8.26,84.83,1125,887,55.91,410,319,56.24,13,13,50,3.17,95.92,7.67,88.25,0.959
Carolina Hurricanes,82,1087.2833,52,23,7,50,111,0.677,1448,753,65.79,998,561,64.02,629,399,61.19,47,52,47.47,58.96,43.78,57.39,599,347,63.32,302,211,58.87,41,38,51.9,13.58,81.99,248,140,63.92,158,103,60.54,33,21,61.11,20.89,79.61,351,207,62.9,144,108,57.14,8,17,32,5.56,84.26,952,422,69.29,311,148,67.76,6,7,46.15,1.93,95.27,7.47,86.97,0.944
Montreal Canadiens,82,1303.9167,30,36,16,26,76,0.463,1345,1302,50.81,944,939,50.13,654,666,49.55,65,78,45.45,60.78,67.88,47.24,599,632,48.66,334,355,48.48,55,61,47.41,16.47,82.82,265,252,51.26,174,163,51.63,28,29,49.12,16.09,82.21,334,380,46.78,160,192,45.45,27,32,45.76,16.88,83.33,803,700,53.43,295,276,51.66,9,12,42.86,3.05,95.65,9.94,88.29,0.982
Toronto Maple Leafs,82,1212.1,46,26,10,41,102,0.622,1440,1064,57.51,1004,779,56.31,710,528,57.35,67,53,55.83,66.86,56.05,54.4,689,512,57.37,390,279,58.3,53,39,57.61,13.59,86.02,307,217,58.59,204,133,60.53,28,24,53.85,13.73,81.95,382,295,56.43,186,146,56.02,25,15,62.5,13.44,89.73,879,562,61,292,220,57.03,14,11,56,4.79,95,9.44,89.96,0.994
Boston Bruins,82,880.3667,47,20,15,43,109,0.665,880,753,53.89,629,556,53.08,444,365,54.88,47,39,54.65,39.09,41.17,48.7,421,343,55.1,226,190,54.33,35,28,55.56,15.49,85.26,186,151,55.19,134,100,57.26,27,21,56.25,20.15,79,235,192,55.04,92,90,50.55,8,7,53.33,8.7,92.22,511,427,54.48,198,155,56.09,12,7,63.16,6.06,95.48,10.59,89.32,0.999
Winnipeg Jets,82,920.8667,52,24,6,52,110,0.671,1042,782,57.13,734,588,55.52,505,419,54.65,47,40,54.02,44.78,43.08,50.97,443,343,56.36,230,201,53.36,42,27,60.87,18.26,86.57,201,158,55.99,137,112,55.02,29,19,60.42,21.17,83.04,242,185,56.67,93,89,51.1,13,8,61.9,13.98,91.01,636,480,56.99,249,182,57.77,5,7,41.67,2.01,96.15,9.31,90.45,0.998
Los Angeles Kings,82,1110.3,44,27,11,42,99,0.604,1385,905,60.48,990,660,60,654,477,57.82,40,54,42.55,60.8,48.42,55.67,619,415,59.86,298,244,54.98,30,39,43.48,10.07,84.02,242,174,58.17,142,122,53.79,23,23,50,16.2,81.15,377,241,61,156,122,56.12,7,16,30.43,4.49,86.89,859,534,61.67,328,208,61.19,10,10,50,3.05,95.19,6.12,88.68,0.948
