Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,871,47,30,5,44,99,0.604,823,913,47.41,604,637,48.67,412,433,48.76,45,28,61.64,42.12,38.64,52.16,381,396,49.03,207,207,50,31,21,59.62,14.98,89.86,147,160,47.88,93,106,46.73,20,8,71.43,21.51,92.45,234,236,49.79,114,101,53.02,11,13,45.83,9.65,87.13,496,557,47.1,183,200,47.78,10,6,62.5,5.46,97,10.92,93.53,1.045
Tampa Bay Lightning,82,689.0833,45,29,8,42,98,0.598,642,726,46.93,460,502,47.82,317,353,47.31,47,31,60.26,39.54,31.51,55.65,312,319,49.45,169,177,48.84,36,26,58.06,21.3,85.31,137,134,50.55,99,88,52.94,27,16,62.79,27.27,81.82,175,185,48.61,70,89,44.03,9,10,47.37,12.86,88.76,342,453,43.02,135,161,45.61,9,5,64.29,6.67,96.89,14.83,91.22,1.06
Chicago Blackhawks,82,485.8333,23,53,6,22,52,0.317,357,606,37.07,245,417,37.01,170,286,37.28,17,27,38.64,15.89,26.73,37.28,156,292,34.82,84,147,36.36,14,21,40,16.67,85.71,61,122,33.33,40,77,34.19,8,13,38.1,20,83.12,95,170,35.85,44,70,38.6,6,8,42.86,13.64,88.57,202,348,36.73,75,127,37.13,3,6,33.33,4,95.28,10,90.56,1.006
Pittsburgh Penguins,82,758.45,38,32,12,36,88,0.537,730,880,45.34,516,650,44.25,353,424,45.43,44,36,55,36.95,38.29,49.11,323,418,43.59,171,220,43.73,27,30,47.37,15.79,86.36,123,159,43.62,78,100,43.82,14,26,35,17.95,74,200,259,43.57,93,120,43.66,13,4,76.47,13.98,96.67,437,512,46.05,154,186,45.29,14,6,70,9.09,96.77,12.46,91.51,1.04
Vegas Golden Knights,82,657.25,45,29,8,41,98,0.598,597,729,45.02,433,474,47.74,320,329,49.31,46,29,61.33,31.79,28.38,52.83,307,315,49.36,186,151,55.19,38,21,64.41,20.43,86.09,136,120,53.13,95,73,56.55,23,12,65.71,24.21,83.56,171,195,46.72,91,78,53.85,15,9,62.5,16.48,88.46,319,415,43.46,115,160,41.82,5,8,38.46,4.35,95,14.38,91.19,1.056
Ottawa Senators,82,553.25,37,41,4,32,78,0.476,562,618,47.63,404,443,47.7,271,324,45.55,36,34,51.43,28.13,29.86,48.51,259,300,46.33,153,165,48.11,31,28,52.54,20.26,83.03,103,135,43.28,73,92,44.24,17,19,47.22,23.29,79.35,156,165,48.6,80,73,52.29,14,9,60.87,17.5,87.67,320,349,47.83,104,142,42.28,4,6,40,3.85,95.77,13.28,89.51,1.028
Carolina Hurricanes,82,685.3333,52,23,7,50,111,0.677,771,606,55.99,556,445,55.54,372,311,54.47,43,25,63.24,36.72,29.52,55.44,323,279,53.65,160,161,49.84,35,23,60.34,21.88,85.71,124,124,50,81,87,48.21,25,14,64.1,30.86,83.91,199,155,56.21,79,74,51.63,10,9,52.63,12.66,87.84,458,373,55.11,190,133,58.82,7,2,77.78,3.68,98.5,11.56,91.96,1.035
Montreal Canadiens,82,718.8833,30,36,16,26,76,0.463,587,836,41.25,407,572,41.57,293,384,43.28,34,33,50.75,30.68,36.16,45.9,281,386,42.13,147,181,44.82,26,25,50.98,17.69,86.19,126,152,45.32,85,89,48.85,19,17,52.78,22.35,80.9,155,234,39.85,62,92,40.26,7,8,46.67,11.29,91.3,324,480,40.3,128,189,40.38,5,8,38.46,3.91,95.77,11.6,91.41,1.03
Toronto Maple Leafs,82,756.0667,46,26,10,41,102,0.622,747,811,47.95,539,541,49.91,370,349,51.46,50,36,58.14,38.41,35.57,51.92,361,370,49.38,209,189,52.51,42,29,59.15,20.1,84.66,157,152,50.81,107,107,50,30,19,61.22,28.04,82.24,204,218,48.34,102,82,55.43,12,10,54.55,11.76,87.8,414,474,46.62,135,148,47.7,5,7,41.67,3.7,95.27,13.51,89.68,1.032
Boston Bruins,82,822.0667,47,20,15,43,109,0.665,725,926,43.91,536,651,45.16,389,415,48.38,48,31,60.76,38.26,37.8,50.3,358,429,45.49,222,208,51.63,44,29,60.27,19.82,86.06,161,166,49.24,121,99,55,29,14,67.44,23.97,85.86,197,263,42.83,101,109,48.1,15,15,50,14.85,86.24,386,546,41.42,142,190,42.77,2,2,50,1.41,98.95,12.34,92.53,1.049
Calgary Flames,82,607.2667,38,39,5,38,81,0.494,615,663,48.12,450,469,48.97,315,330,48.84,33,31,51.56,34.38,28.06,55.06,267,279,48.9,144,160,47.37,24,24,50,16.67,85,115,108,51.57,76,79,49.03,16,12,57.14,21.05,84.81,152,171,47.06,68,81,45.64,8,12,40,11.76,85.19,373,411,47.58,144,148,49.32,7,7,50,4.86,95.27,10.48,90.61,1.011
