Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Nashville Predators,82,2813.4,47,30,5,44,99,0.604,2945,2758,51.64,2101,1954,51.81,1445,1398,50.83,139,117,54.3,138.62,122.82,53.02,1415,1270,52.7,760,684,52.63,113,91,55.39,14.87,86.7,582,480,54.8,392,324,54.75,76,53,58.91,19.39,83.64,833,790,51.32,368,360,50.55,37,38,49.33,10.05,89.44,1704,1617,51.31,629,641,49.53,22,21,51.16,3.5,96.72,9.62,91.63,1.013
Tampa Bay Lightning,82,2739.65,45,29,8,42,98,0.598,2681,2636,50.42,1868,1877,49.88,1278,1349,48.65,145,155,48.33,122.73,124.45,49.65,1262,1248,50.28,663,700,48.64,120,125,48.98,18.1,82.14,513,514,49.95,340,350,49.28,79,73,51.97,23.24,79.14,749,734,50.51,323,350,47.99,41,52,44.09,12.69,85.14,1521,1468,50.89,563,576,49.43,23,27,46,4.09,95.31,11.35,88.51,0.999
Chicago Blackhawks,82,2655.1667,23,53,6,22,52,0.317,2271,2993,43.14,1601,2125,42.97,1129,1475,43.36,88,157,35.92,96.7,139.35,40.96,1016,1437,41.42,572,769,42.65,77,123,38.5,13.46,84.01,396,601,39.72,277,387,41.72,48,83,36.64,17.33,78.55,620,836,42.58,295,382,43.57,29,40,42.03,9.83,89.53,1331,1723,43.58,503,644,43.85,11,31,26.19,2.19,95.19,7.79,89.36,0.972
Pittsburgh Penguins,82,2925.6167,38,32,12,36,88,0.537,3100,2986,50.94,2196,2180,50.18,1515,1447,51.15,143,130,52.38,141.5,139.2,50.41,1445,1404,50.72,776,752,50.79,104,109,48.83,13.4,85.51,603,563,51.72,398,371,51.76,63,83,43.15,15.83,77.63,842,841,50.03,378,381,49.8,41,26,61.19,10.85,93.18,1826,1723,51.45,654,627,51.05,36,19,65.45,5.5,96.97,9.44,91.02,1.005
Seattle Kraken,82,3095.4,34,35,13,31,81,0.494,3132,3044,50.71,2151,2209,49.33,1473,1479,49.9,113,124,47.68,129.3,129.01,50.06,1440,1325,52.08,745,677,52.39,87,99,46.77,11.68,85.38,549,524,51.16,348,321,52.02,59,69,46.09,16.95,78.5,891,801,52.66,397,356,52.72,28,30,48.28,7.05,91.57,1830,1924,48.75,655,724,47.5,25,21,54.35,3.82,97.1,7.67,91.62,0.993
Vegas Golden Knights,82,2827.65,45,29,8,41,98,0.598,2749,3023,47.63,1937,2043,48.67,1391,1401,49.82,142,131,52.01,124.34,121.7,50.54,1317,1327,49.81,736,664,52.57,126,99,56,17.12,85.09,527,504,51.12,367,308,54.37,72,58,55.38,19.62,81.17,790,823,48.98,369,356,50.9,54,41,56.84,14.63,88.48,1592,1770,47.35,583,668,46.6,12,30,28.57,2.06,95.51,10.21,90.65,1.009
Ottawa Senators,82,2626.3,37,41,4,32,78,0.476,2703,2637,50.62,1911,1827,51.12,1308,1287,50.4,120,141,45.98,117.95,116.92,50.22,1219,1255,49.27,670,661,50.34,100,119,45.66,14.93,82,486,500,49.29,329,340,49.18,68,73,48.23,20.67,78.53,733,755,49.26,341,321,51.51,32,46,41.03,9.38,85.67,1546,1483,51.04,559,558,50.04,19,21,47.5,3.4,96.24,9.17,89.04,0.982
Carolina Hurricanes,82,2929.1167,52,23,7,50,111,0.677,3581,2313,60.76,2518,1712,59.53,1626,1189,57.76,138,112,55.2,153.27,111.19,57.95,1555,1054,59.6,761,611,55.47,119,97,55.09,15.64,84.12,608,443,57.85,381,314,54.82,78,52,60,20.47,83.44,947,611,60.78,380,297,56.13,41,45,47.67,10.79,84.85,2202,1335,62.26,807,493,62.08,18,12,60,2.23,97.57,8.49,90.58,0.991
Montreal Canadiens,82,2990.1667,30,36,16,26,76,0.463,2752,3242,45.91,1977,2264,46.62,1352,1538,46.78,121,125,49.19,132.74,139.62,48.74,1289,1546,45.47,704,777,47.54,100,109,47.85,14.2,85.97,552,600,47.92,367,355,50.83,68,69,49.64,18.53,80.56,737,946,43.79,337,422,44.4,32,40,44.44,9.5,90.52,1545,1760,46.75,580,688,45.74,17,16,51.52,2.93,97.67,8.95,91.87,1.008
Toronto Maple Leafs,82,2907.05,46,26,10,41,102,0.622,3035,2847,51.6,2162,2012,51.8,1498,1348,52.64,156,131,54.36,140.9,132.52,51.53,1482,1318,52.93,805,716,52.93,132,108,55,16.4,84.92,624,548,53.24,420,372,53.03,90,72,55.56,21.43,80.65,858,770,52.7,385,344,52.81,42,36,53.85,10.91,89.53,1752,1622,51.93,614,576,51.6,21,22,48.84,3.42,96.18,10.41,90.28,1.007
